Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Jefry Marte,Angels,3B,88,258,284,65,36,14,0,15,38,44,18,0,59,5,3,0,8,2,2,0.252,6.30%,20.80%,0.31,0.31,0.481,0.79,0.229,2.8,0.267,38,4.1,0.335,113,-0.6,0.5,-1.2,79,73,105,110,19.00%,50.50%,29.70%,19.80%,21.30%,42.60%,36.10%,5107
2017,Todd Frazier,White Sox,3B,147,474,576,101,54,19,1,27,74,76,83,2,125,14,5,0,10,4,3,0.213,14.40%,21.70%,0.66,0.344,0.428,0.772,0.215,3.1,0.226,77,6.6,0.335,109,-0.8,-1.1,-0.1,171,90,79,130,16.10%,48.60%,29.70%,21.80%,23.20%,44.60%,32.20%,785
2016,Miguel Sano,Twins,3B,116,437,495,103,55,22,1,25,57,66,54,1,178,1,3,0,8,1,0,0.236,10.90%,36.00%,0.3,0.319,0.462,0.781,0.227,2.5,0.329,65,6.4,0.334,107,0,-2.3,0.9,136,99,77,129,20.80%,36.30%,39.30%,24.40%,14.10%,45.80%,40.10%,12164
2017,Matt Chapman,Athletics,3B,84,290,326,68,29,23,2,14,39,40,32,0,92,2,2,0,2,0,3,0.234,9.80%,28.20%,0.35,0.313,0.472,0.785,0.238,3.5,0.29,43,3,0.332,110,-1.4,1.9,1.5,117,79,77,139,13.90%,34.50%,38.50%,27.00%,20.00%,44.00%,36.00%,16505
2018,Mike Moustakas,Royals,3B,98,378,417,94,52,21,1,20,46,62,30,3,63,5,4,0,10,3,0,0.249,7.20%,15.10%,0.48,0.309,0.468,0.778,0.22,3.4,0.247,54,5,0.329,106,0.4,-2.9,0.2,87,98,81,123,14.10%,41.40%,33.20%,25.40%,21.60%,34.20%,44.20%,4892
2017,Chase Headley,Yankees,3B,147,512,586,140,97,30,1,12,77,61,60,2,132,6,7,1,10,9,2,0.273,10.20%,22.50%,0.45,0.352,0.406,0.758,0.133,4.3,0.341,75,4,0.329,105,0.5,-0.9,1.6,122,123,100,87,9.90%,38.20%,33.30%,28.40%,17.10%,53.00%,30.00%,4720
2017,Manny Machado,Orioles,3B,156,630,690,163,96,33,1,33,81,95,50,3,115,1,9,0,17,9,4,0.259,7.20%,16.70%,0.43,0.31,0.471,0.782,0.213,3.3,0.265,88,3.9,0.328,102,-0.3,-3.7,-1,86,78,97,116,15.10%,41.60%,33.60%,24.80%,18.50%,42.00%,39.50%,11493
2016,Eduardo Nunez,Twins,3B,91,371,396,110,82,15,1,12,49,47,15,0,58,3,5,2,6,27,6,0.296,3.80%,14.60%,0.26,0.325,0.439,0.764,0.143,5.9,0.32,50,3,0.327,102,2.7,-1.9,0.4,47,79,115,94,11.50%,32.60%,35.10%,32.30%,20.10%,51.10%,28.80%,6848
2018,Adrian Beltre,Rangers,3B,119,433,481,118,79,23,1,15,49,65,34,2,96,6,8,0,13,1,0,0.273,7.10%,20.00%,0.35,0.328,0.434,0.763,0.162,2.3,0.312,61,4.8,0.327,97,-0.1,-0.9,-1.2,85,122,90,99,12.00%,38.80%,32.80%,28.40%,14.20%,43.50%,42.30%,639
2016,Yunel Escobar,Angels,3B,132,517,567,157,123,28,1,5,68,39,40,0,67,3,4,3,21,0,3,0.304,7.10%,11.80%,0.6,0.355,0.391,0.745,0.087,2.2,0.339,71,4,0.327,107,-1.6,-0.9,-3.3,88,104,132,58,5.30%,33.70%,42.50%,23.90%,17.10%,55.80%,27.10%,4191
