,Nameplayerid,Seasonplayerid,playeridplayerid,weightwRCplayerid,weightHRplayerid,weightPAplayerid,weightABplayerid,weightRplayerid,weightHplayerid,weight2Bplayerid,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI,Nameplayerid,Seasonplayerid,playeridplayerid,weightBABIP,weightOBPplayerid,weightwOBAplayerid,weightOPSplayerid,weightwRC+playerid,weightwRAAplayerid,weight1B,AVGPredicted,linearSvrAVG,svrAVG,BayesRidgeAVG,HuberRegressorAVG,RidgeAVG,ARDRegressionAVG,Nameplayerid,Seasonplayerid,playeridplayerid,weightRBIplayerid,weightISOplayerid,weightwRCplayerid,weightSLGplayerid,weightRplayerid,weightHRFB,weightOPSplayerid,HRsPredicted,linearSvrHR,SvrHR,BayesRidgeHR,HuberRegressorHR,RidgeHR,ARDRegressionHR,Nameplayerid,Seasonplayerid,playeridplayerid,weightwOBAplayerid,weightwRC+playerid,weightSLGplayerid,weightwRAAplayerid,weightOBPplayerid,weightISOplayerid,weightHRplayerid,opsPredicted,linearSvrOPS,svrOPS,BayesRidgeOPS,HuberRegressorOPS,RidgeOPS,ARDRegressionOPS,Name,Season,playerid,weightWRC,weightPAplayerid,weightHplayerid,weightABplayerid,weightRBIplayerid,weightG,weight2Bplayerid,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns,runs,hr,rbi,avg,ops
13,Aramis Ramirez,2018,1002,-0.036213246,0.250784884,0.419583587,0.509845603,-0.488546484,0.241990728,1.050062423,66.7595685,65.43663217,61.69092077,66.79097241,66.3966287,66.98539097,66.68302759,Aramis Ramirez,2018,1002,-1.355320567,-0.819383536,-0.367579365,-0.313179538,-0.294849651,-0.396712673,-0.034807253,0.234732991,0.232249036,0.257,0.234909016,0.234770439,0.235062758,0.235961838,Aramis Ramirez,2018,1002,0.856445999,0.2079118,-0.036213246,-0.014907819,-0.488546484,-0.478441238,-0.313179538,18.24379666,17.80083579,16.82872586,18.2289393,18.0538352,18.20644549,18.18149425,Aramis Ramirez,2018,1002,-0.367579365,-0.294849651,-0.014907819,-0.396712673,-0.819383536,0.2079118,0.250784884,0.720027669,0.719829988,0.784285257,0.720027756,0.72,0.720255015,0.719796054,Aramis Ramirez,2018,1002,-0.036213246,0.419583587,0.241990728,0.509845603,0.856445999,0.58985238,1.050062423,53.95143499,54.65780956,56.42468186,54.0309226,54.00896812,54.22679023,54.16192116,#N/A,#N/A,#N/A,#N/A,#N/A
14,Ichiro Suzuki,2018,1101,-1.036719036,-1.226572955,-1.115350922,-1.101353973,-1.00673868,-0.927154342,-1.327568131,20.31616304,20.05153869,20.38733902,20.33328065,20.15646429,20.47602287,20.3491803,Ichiro Suzuki,2018,1101,0.014977279,-0.021507341,-0.794364046,-0.892818324,-0.72006951,-0.655798842,-0.49253242,0.245768452,0.250544748,0.257,0.245577499,0.246082359,0.245417409,0.243597304,Ichiro Suzuki,2018,1101,-1.235853002,-1.550828464,-1.036719036,-1.209543766,-1.00673868,-1.173283483,-0.892818324,-1.24510206,-0.991182227,2.051741114,-1.230184899,-1.138751676,-1.207701055,-1.234052114,Ichiro Suzuki,2018,1101,-0.794364046,-0.72006951,-1.209543766,-0.655798842,-0.021507341,-1.550828464,-1.226572955,0.665091833,0.664322636,0.729052373,0.665091726,0.6651,0.664836544,0.664161353,Ichiro Suzuki,2018,1101,-1.036719036,-1.115350922,-0.927154342,-1.101353973,-1.235853002,0.686777343,-1.327568131,28.74573633,29.50796959,36.98303143,28.77514139,29.1091694,28.86988354,29.35836834,#N/A,#N/A,#N/A,#N/A,#N/A
15,Andrew Romine,2018,1159,-1.125732007,-1.106787184,-0.969541996,-0.937664904,-0.651756624,-0.96738808,-0.818075869,22.28428925,21.78983984,22.34250275,22.22582533,22.27458864,21.80970672,22.28108966,Andrew Romine,2018,1159,-0.192225016,-0.892946589,-1.296781456,-1.314753584,-1.329818741,-1.046808153,-0.733440404,0.233097699,0.236644213,0.257,0.233032652,0.233759349,0.23297897,0.233291926,Andrew Romine,2018,1159,-1.185761129,-1.308122308,-1.125732007,-1.356177781,-0.651756624,-1.019917402,-1.314753584,1.883624378,1.892836108,3.186209963,1.895438081,1.873550584,1.913101347,1.920806926,Andrew Romine,2018,1159,-1.296781456,-1.329818741,-1.356177781,-1.046808153,-0.892946589,-1.308122308,-1.106787184,0.624117107,0.62354075,0.687736674,0.624117088,0.6241,0.624070184,0.622855705,Andrew Romine,2018,1159,-1.125732007,-0.969541996,-0.96738808,-0.937664904,-1.185761129,-0.015928642,-0.818075869,29.31887927,29.23104382,31.75129229,29.31653892,29.48880408,29.32813337,29.62640575,#N/A,#N/A,#N/A,#N/A,#N/A
16,Albert Pujols,2018,1177,0.419533163,1.258981787,1.251745343,1.382609291,0.27038067,0.980398141,-0.31919803,85.71683198,82.01244715,76.54002549,85.57961181,84.66643608,84.43272635,85.59509604,Albert Pujols,2018,1177,-1.463065761,-0.757137875,-0.497235471,-0.355999701,-0.391125846,-0.82580289,1.169732663,0.250412531,0.248061813,0.257,0.250127326,0.249543097,0.249874534,0.246723621,Albert Pujols,2018,1177,2.043238065,0.037313994,0.419533163,-0.105475887,0.27038067,0.128763247,-0.355999701,23.6953941,22.89773342,21.45968301,23.71666558,23.29615929,23.74747973,23.69632753,Albert Pujols,2018,1177,-0.497235471,-0.391125846,-0.105475887,-0.82580289,-0.757137875,0.037313994,1.258981787,0.715967711,0.715957214,0.785874454,0.715967498,0.7159,0.715409366,0.715640745,Albert Pujols,2018,1177,0.419533163,1.251745343,0.980398141,1.382609291,2.043238065,1.06409238,-0.31919803,67.80954615,69.08227322,70.4035091,67.99324363,67.29121196,68.41540126,67.78680308,50,19,64,0.245,0.7
17,Chris Johnson,2018,1191,-0.780118457,-0.628136579,-0.759060378,-0.715864761,-0.880684397,-0.692613974,-0.6436932,35.14135394,34.65696844,31.87535522,35.173175,34.93434281,35.41079066,35.14745964,Chris Johnson,2018,1191,0.454885707,-0.720807326,-0.844517628,-0.830210161,-0.79067053,-0.552195085,-0.537115744,0.24908431,0.2531215,0.257,0.248930649,0.24989178,0.248801627,0.249995419,Chris Johnson,2018,1191,-0.734576003,-0.745829351,-0.780118457,-0.785242419,-0.880684397,-0.409131624,-0.830210161,7.333230376,7.282064833,7.371936822,7.322668647,7.333255471,7.307431987,7.285753725,Chris Johnson,2018,1191,-0.844517628,-0.79067053,-0.785242419,-0.552195085,-0.720807326,-0.745829351,-0.628136579,0.669898898,0.669378521,0.738112152,0.66989888,0.669898861,0.669872798,0.669128711,Chris Johnson,2018,1191,-0.780118457,-0.759060378,-0.692613974,-0.715864761,-0.734576003,-0.456104338,-0.6436932,36.47048314,36.10990253,34.91627036,36.44064578,36.40146216,36.39142389,36.52526838,#N/A,#N/A,#N/A,#N/A,#N/A
18,Alex Rodriguez,2018,1274,-0.043091061,0.390042472,-0.081245909,-0.138915847,-0.097275721,-0.266609697,-0.420790336,56.59123697,54.76464025,55.55729324,56.50827544,56.35477267,55.85377703,56.54166674,Alex Rodriguez,2018,1274,-0.738599514,-0.41523772,-0.212444112,-0.187907723,-0.188944315,0.076139878,-0.351272443,0.240669186,0.240927984,0.257,0.240762619,0.241122832,0.240848506,0.242672699,Alex Rodriguez,2018,1274,0.132398721,0.293586145,-0.043091061,-0.047759578,-0.097275721,0.590877824,-0.187907723,18.35322107,17.99023991,18.99047171,18.34185279,18.18933974,18.3248481,18.33186984,Alex Rodriguez,2018,1274,-0.212444112,-0.188944315,-0.047759578,0.076139878,-0.41523772,0.293586145,0.390042472,0.731992129,0.73163452,0.791995404,0.731992215,0.731998861,0.732241627,0.731859666,Alex Rodriguez,2018,1274,-0.043091061,-0.081245909,-0.266609697,-0.138915847,0.132398721,-0.248407988,-0.420790336,53.76533867,53.13821333,50.18433513,53.7820948,53.55854182,53.80310065,53.6772592,#N/A,#N/A,#N/A,#N/A,#N/A
19,Mark Teixeira,2018,1281,0.031679834,0.509828242,-0.008341446,-0.070650899,-0.121757243,-0.245309484,-0.134200938,59.8491172,58.39961055,58.56927614,59.80929056,59.63146696,59.48656844,59.81099548,Mark Teixeira,2018,1281,-0.99553036,-0.024787667,0.184627711,0.188074192,0.220229511,0.123060995,-0.444194093,0.242251284,0.241314521,0.257,0.242370632,0.242356437,0.24247623,0.2424241,Mark Teixeira,2018,1281,0.201756699,0.636540496,0.031679834,0.267072278,-0.121757243,0.619047104,0.188074192,19.24128476,18.94672448,19.79323368,19.23506075,19.09674118,19.22530861,19.241869,Mark Teixeira,2018,1281,0.184627711,0.220229511,0.267072278,0.123060995,-0.024787667,0.636540496,0.509828242,0.76768993,0.767419125,0.804447184,0.767690021,0.767698861,0.767951235,0.767886813,Mark Teixeira,2018,1281,0.031679834,-0.008341446,-0.245309484,-0.070650899,0.201756699,-0.134174995,-0.134200938,55.62289391,54.71827358,51.71212436,55.60375439,55.46472796,55.54929146,55.54543208,#N/A,#N/A,#N/A,#N/A,#N/A
20,Jayson Werth,2018,1327,-0.374462535,-0.098590281,-0.388276681,-0.467884618,-0.149885442,-0.63605142,-0.542100894,42.81570266,42.48290211,43.56431413,42.80417763,42.74501822,42.743144,42.83760638,Jayson Werth,2018,1327,-0.783442232,-0.058288868,-0.21361274,-0.280803318,-0.40316037,-0.302190422,-0.664609551,0.236612325,0.238205472,0.257,0.236996017,0.237025306,0.237326015,0.237657067,Jayson Werth,2018,1327,-0.403557267,0.056660137,-0.374462535,-0.355616266,-0.149885442,-0.004258354,-0.280803318,12.99508625,12.82761594,13.19011952,13.00373428,12.88350828,13.0156774,13.06238867,Jayson Werth,2018,1327,-0.21361274,-0.40316037,-0.355616266,-0.302190422,-0.058288868,0.056660137,-0.098590281,0.723213063,0.722843753,0.778379188,0.723213268,0.7232,0.723720383,0.722905111,Jayson Werth,2018,1327,-0.374462535,-0.388276681,-0.63605142,-0.467884618,-0.403557267,-0.909022948,-0.542100894,47.26215498,46.11767299,42.79302041,47.27158611,47.00536763,47.25915105,47.03530195,#N/A,#N/A,#N/A,#N/A,#N/A
21,Wilson Ramos,2018,1433,-0.50976225,0.02119549,-0.725213524,-0.650658511,-0.900652089,-0.451449567,-0.892376824,49.76820509,46.0610898,43.8852454,49.58846253,49.40475656,48.12785219,49.62058771,Wilson Ramos,2018,1433,-0.584528029,-0.564742197,-0.097462478,0.092045414,-0.058170673,-0.129466309,-0.299806034,0.250580303,0.249619504,0.257,0.250138033,0.25060308,0.249753046,0.248594133,Wilson Ramos,2018,1433,-0.037501272,0.301125034,-0.50976225,0.41349352,-0.900652089,1.224235255,0.092045414,15.60490975,15.48313945,14.63272577,15.59883034,15.59438766,15.59116648,15.50180933,Wilson Ramos,2018,1433,-0.097462478,-0.058170673,0.41349352,-0.129466309,-0.564742197,0.301125034,0.02119549,0.75876407,0.758526535,0.796113854,0.758763767,0.7588,0.757971078,0.758979719,Wilson Ramos,2018,1433,-0.50976225,-0.725213524,-0.451449567,-0.650658511,-0.037501272,-1.019794334,-0.892376824,38.85330498,39.51677316,39.92061178,38.89858573,38.56716115,39.01791679,38.73267656,39,15,70,0.306,0.845
22,Michael Cuddyer,2018,1534,-0.463475505,-0.447965445,-0.289757136,-0.194824827,-0.447743949,-0.207680453,-0.329812452,41.07501137,42.41001526,41.55222677,41.27341533,40.82152775,42.81419951,41.19571276,Michael Cuddyer,2018,1534,0.274670823,-0.479861751,-0.448614431,-0.532502322,-0.134389327,-0.417113158,-0.000391826,0.255322666,0.257541928,0.257,0.255418855,0.255774954,0.25551037,0.256588803,Michael Cuddyer,2018,1534,-0.45364914,-0.583521319,-0.463475505,-0.474936102,-0.447743949,-0.165449235,-0.532502322,9.6937743,9.58631151,10.04653642,9.689477185,9.653085482,9.683762972,9.655902082,Michael Cuddyer,2018,1534,-0.448614431,-0.134389327,-0.474936102,-0.417113158,-0.479861751,-0.583521319,-0.447965445,0.700019499,0.699537995,0.766032928,0.700019617,0.7,0.700375254,0.699520311,Michael Cuddyer,2018,1534,-0.463475505,-0.289757136,-0.207680453,-0.194824827,-0.45364914,-0.102468788,-0.329812452,46.46680774,45.30303438,44.91229771,46.3450863,46.20269221,46.11042317,46.4065206,#N/A,#N/A,#N/A,#N/A,#N/A
