,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
118,Jon Jay,2019,5227,0.020802150344225917,-1.2527459974227666,0.43923670609476295,0.44688320112362995,0.5295556550176207,0.5445631004786226,-0.1753879015941648,34.314399692161025,36.136698021062415,41.75467432930414,34.436431030310416,34.302142224469435,35.45121737615257,34.45642613218508
396,Jesse Winker,2019,13590,-0.16953852572947137,-0.8107859369793249,-0.7816030359230632,-0.9152271725373787,-0.7214785584775575,-0.5161763463484861,-0.5272799520347126,37.553314704699744,35.84738378196077,35.63109668826879,37.509316614045154,37.83232860807015,37.14607947087838,37.52468220873226
86,Matt Wieters,2019,4298,-0.8251564099833176,-0.559672266272824,-0.6858120388491536,-0.7008209100166645,-0.9611247227509845,-0.7939320480007312,-0.8895217686646881,38.30499313747028,35.70684702159174,32.79459695149799,38.18010952486098,38.022393105326785,37.18499687092293,38.211403560373675
45,Manny Pina,2019,2829,-0.6841633165953938,-0.6098950004141241,-0.7181827895844749,-0.6763385340194894,-0.6077481754325413,-0.5760374889459526,-0.5893785491712799,37.03260082615773,35.61327419212638,34.02099814605509,36.962488539175524,36.94032577708339,36.41826949045994,36.986654546775036
63,Nick Hundley,2019,3376,-0.8956529566772795,-0.5395831726163038,-0.9692212646747205,-0.8914866867219363,-0.9854955191177737,-0.8681598648215898,-0.4548315887087174,35.32166701341934,35.528595736859096,32.86647070206362,35.42143701540826,35.1669886354491,36.192714739411954,35.36551900872678
284,Tyler Saladino,2019,10807,-0.7256175536792462,-0.6672734050962755,-0.6037298450233383,-0.5736186795196022,-0.6765950987544264,-0.5898559551652354,-0.5958116583353802,36.48524322520747,35.48010978955779,33.74997159106262,36.45897543596768,36.308935868247566,36.255603539936985,36.466264389378004
347,Cory Spangenberg,2019,12294,-0.6559646979178089,-0.6299840940706442,-0.5034788306257121,-0.4641579420439728,-0.5752537802768223,-0.5137819006445874,-0.9723198981801111,33.873111908993096,35.34747527329461,34.55971032480369,34.07589749702719,33.506285645060885,35.66923509868195,34.02983190601175
94,Prince Fielder,2019,4613,-0.945000539363053,-0.7103404686967245,-0.5437771121533568,-0.5813765907577197,-1.0870405039793953,-0.8753432019332859,-0.5272799520347126,38.13345847476424,35.25772860876603,32.9613293329659,37.97248052867971,37.88474547102088,36.69617111735853,37.99775972194978
299,Aaron Altherr,2019,11270,-0.7476102086199594,-0.4190486106771834,-0.8919278394495659,-0.9434189994432166,-0.7824055493945304,-1.074082195356875,-0.6928762110655585,33.57822600992088,35.11176535328748,33.432380989971335,33.76630778424368,33.57121202698393,35.24907902292922,33.708843910975766
264,Billy Hamilton,2019,10199,-0.29290748244390485,-1.122166888655386,0.7741748820704328,0.8437944483505578,0.8544996065748098,0.4727297293616626,-0.46518135489814527,30.531465164545786,35.00521766841349,42.67895854199361,30.818611634657984,30.176333887953867,33.1664199960051,30.814066795800464
