Season,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,Spd,wRC+,wSB,UBR,wGDP,FB%+,BB%+,LD+%,GB%+,Hard%,Med%,Soft%,Oppo%,Cent%,Pull%,HR/FB,playerid,SS
2019,Cristhian Adames,Giants,10,22,24,7,6,1,0,0,1,2,2,0,8,0,0,0,0,0,0,0.318,8.30%,33.30%,0.25,0.375,0.364,0.739,0.045,0.5,3,0.1,0.326,0.2,103,0,0.1,0.2,20,94,132,150,28.60%,64.30%,7.10%,7.10%,42.90%,50.00%,0.00%,6013,N
2019,Adam Frazier,Pirates,152,554,608,154,104,33,7,10,80,50,40,4,75,9,1,4,6,5,5,0.278,6.60%,12.30%,0.53,0.336,0.417,0.753,0.139,0.306,77,0.1,0.32,4.8,97,-1.5,1.4,0.8,93,74,119,96,29.80%,51.90%,18.40%,28.70%,32.90%,38.40%,6.40%,15223,N
2019,Greg Garcia,Padres,134,311,372,77,56,13,4,4,52,31,53,1,83,5,2,1,4,0,2,0.248,14.20%,22.30%,0.64,0.364,0.354,0.718,0.106,0.323,46,-0.4,0.319,4.2,97,-1.1,0.7,0.6,65,161,100,129,32.00%,47.60%,20.40%,34.60%,38.10%,27.30%,7.70%,10951,N
2019,Robel Garcia,Cubs,31,72,80,15,6,2,2,5,8,11,7,0,35,0,1,0,2,0,0,0.208,8.80%,43.80%,0.2,0.275,0.5,0.775,0.292,0.303,10,-0.3,0.315,3.1,93,0,0.4,-0.2,145,99,112,57,42.10%,31.60%,26.30%,23.70%,29.00%,47.40%,26.30%,13167,N
2019,Cesar Hernandez,Phillies,161,612,667,171,123,31,3,14,77,71,45,4,100,6,4,0,9,9,2,0.279,6.70%,15.00%,0.45,0.333,0.408,0.741,0.129,0.313,81,-2.7,0.315,4.5,92,0.6,0.4,0.5,81,76,104,113,32.80%,46.10%,21.10%,28.90%,33.10%,38.00%,9.50%,10556,N
2019,Edmundo Sosa,Cardinals,8,8,10,2,2,0,0,0,2,0,1,0,2,1,0,0,0,1,0,0.25,10.00%,20.00%,0.5,0.4,0.25,0.65,0,0.333,1,0,0.315,7.1,95,0.2,-0.4,0,47,113,154,117,33.30%,33.30%,33.30%,33.30%,16.70%,50.00%,0.00%,17022,N
2019,Mauricio Dubon,- - -,30,106,111,29,20,5,0,4,12,9,5,0,20,0,0,0,3,3,1,0.274,4.50%,18.00%,0.25,0.306,0.434,0.74,0.16,0.305,13,-0.7,0.312,3.8,95,0.1,0.3,-0.1,72,51,123,111,31.40%,51.20%,17.40%,26.70%,31.40%,41.90%,18.20%,16530,N
2019,Adeiny Hechavarria,- - -,84,203,221,49,27,12,1,9,34,33,14,0,48,3,1,0,3,3,1,0.241,6.30%,21.70%,0.29,0.299,0.443,0.742,0.202,0.272,26,-1.6,0.312,5.5,93,0.1,0.2,0.4,107,72,68,110,39.10%,44.90%,16.00%,23.70%,35.30%,41.00%,15.30%,10459,N
2019,Robinson Cano,Mets,107,390,423,100,59,28,0,13,46,39,25,3,69,5,3,0,16,0,0,0.256,5.90%,16.30%,0.36,0.307,0.428,0.736,0.172,0.28,49,-4.3,0.308,1.4,93,-0.2,-0.3,-1.8,87,67,93,114,38.00%,44.40%,17.60%,27.50%,37.70%,34.90%,13.00%,3269,N
2019,Starlin Castro,Marlins,162,636,676,172,115,31,4,22,68,86,28,2,111,3,9,0,23,2,2,0.27,4.10%,16.40%,0.25,0.3,0.436,0.736,0.165,0.293,77,-7.8,0.307,2.9,91,-0.8,-0.3,-3.1,93,47,88,112,42.00%,42.10%,15.90%,22.10%,33.90%,44.00%,12.50%,4579,N
2019,Ben Zobrist,Cubs,47,150,176,39,33,5,0,1,24,17,23,0,24,1,2,0,6,0,0,0.26,13.10%,13.60%,0.96,0.358,0.313,0.671,0.053,0.299,20,-2.6,0.303,1.9,85,-0.1,-0.9,-0.9,73,147,87,129,25.00%,53.10%,21.90%,18.00%,33.60%,48.40%,3.00%,7435,N
2019,Enrique Hernandez,Dodgers,130,414,460,98,61,19,1,17,57,64,36,3,97,6,4,0,9,4,0,0.237,7.80%,21.10%,0.37,0.304,0.411,0.715,0.174,0.266,51,-7.3,0.301,4.1,88,0.6,1.1,-0.2,122,88,95,84,40.50%,43.30%,16.20%,24.30%,31.80%,43.90%,12.20%,10472,N
2019,Gavin Lux,Dodgers,23,75,82,18,11,4,1,2,12,9,7,0,24,0,0,0,0,2,0,0.24,8.50%,29.30%,0.29,0.305,0.4,0.705,0.16,0.327,9,-1.3,0.301,7.6,87,0.4,0.2,0.5,94,96,126,92,52.90%,27.50%,19.60%,17.70%,43.10%,39.20%,11.80%,19955,N
2019,Ildemaro Vargas,Diamondbacks,92,201,211,54,38,9,1,6,25,24,9,0,24,0,1,0,6,1,0,0.269,4.30%,11.40%,0.38,0.299,0.413,0.712,0.144,0.279,23,-3.6,0.3,3.9,82,0.1,0,-0.6,70,48,104,123,34.30%,47.80%,18.00%,25.80%,34.80%,39.30%,13.60%,13324,N
2019,Luis Guillorme,Mets,45,61,70,15,10,4,0,1,8,3,7,0,14,0,0,2,2,0,0,0.246,10.00%,20.00%,0.5,0.324,0.361,0.684,0.115,0.304,8,-1.3,0.299,1.6,87,0,0.2,0,110,113,90,96,28.60%,59.20%,12.20%,32.70%,30.60%,36.70%,5.60%,16451,N
2019,Addison Russell,Cubs,82,215,241,51,37,4,1,9,25,23,20,2,58,3,2,1,7,2,0,0.237,8.30%,24.10%,0.34,0.308,0.391,0.699,0.153,0.28,26,-4.8,0.297,4,81,0.3,1,-0.7,98,94,79,112,31.30%,48.80%,20.00%,28.80%,31.90%,39.40%,16.40%,14106,N
2019,Ty France,Padres,69,184,201,43,27,8,1,7,20,24,9,0,49,7,1,0,8,0,2,0.234,4.50%,24.40%,0.18,0.294,0.402,0.696,0.168,0.279,21,-4.1,0.296,3,83,-1,-1,-1.5,104,51,95,100,41.90%,39.00%,19.10%,20.60%,34.60%,44.90%,14.00%,17982,N
2019,Luis Urias,Padres,71,215,249,48,35,8,1,4,27,24,25,0,56,9,0,0,8,0,1,0.223,10.00%,22.50%,0.45,0.329,0.326,0.655,0.102,0.284,26,-5.6,0.294,2.9,81,-0.6,-0.3,-1.1,86,113,94,114,36.50%,50.30%,13.20%,29.60%,35.90%,34.60%,8.30%,16622,N
2019,Freddy Galvis,Reds,32,107,116,25,16,4,0,5,12,16,7,0,33,1,1,0,3,0,1,0.234,6.00%,28.40%,0.21,0.284,0.411,0.696,0.178,0.286,12,-2.7,0.293,1.7,76,-0.5,0.2,-0.1,120,68,104,81,49.30%,41.30%,9.30%,25.30%,34.70%,40.00%,15.60%,6609,N
2019,Garrett Hampson,Rockies,105,299,327,74,53,9,4,8,40,27,24,1,88,0,2,2,2,15,3,0.247,7.30%,26.90%,0.27,0.302,0.385,0.686,0.137,0.322,33,-7.9,0.292,7.4,63,1.5,1.9,0.8,106,83,89,101,30.20%,47.40%,22.30%,31.20%,34.90%,34.00%,10.50%,19262,N
2019,Kyle Farmer,Reds,97,183,197,42,27,6,0,9,22,27,10,1,59,3,1,0,1,4,1,0.23,5.10%,29.90%,0.17,0.279,0.41,0.689,0.18,0.284,20,-5.3,0.289,4,73,0.3,0.3,1,100,57,111,94,40.00%,42.40%,17.60%,24.80%,26.40%,48.80%,20.50%,14813,N
2019,Joe Panik,- - -,142,438,491,107,79,21,2,5,50,39,43,2,47,4,4,2,6,4,2,0.244,8.80%,9.60%,0.91,0.315,0.336,0.651,0.091,0.262,46,-15.3,0.284,3.6,76,-0.3,-2.9,0.9,95,99,106,101,36.80%,44.60%,18.60%,26.70%,37.50%,35.80%,3.80%,11936,N
2019,Ian Kinsler,Padres,87,258,281,56,35,12,0,9,28,22,19,0,54,3,1,0,5,2,4,0.217,6.80%,19.20%,0.35,0.278,0.368,0.646,0.151,0.24,25,-10.5,0.277,2.4,70,-1.5,-1.4,-0.3,119,76,78,96,33.20%,42.90%,23.90%,18.50%,31.70%,49.80%,10.60%,6195,N
2019,Jose Peraza,Reds,141,376,403,90,64,18,2,6,37,33,17,0,58,8,2,0,9,7,6,0.239,4.20%,14.40%,0.29,0.285,0.346,0.631,0.106,0.268,34,-16.6,0.272,4.3,62,-1.4,0.9,-0.5,120,48,99,84,31.90%,48.10%,20.00%,30.00%,37.20%,32.80%,4.40%,13593,N
2019,Hernan Perez,Brewers,91,232,246,53,34,11,0,8,29,18,11,0,66,0,1,2,9,5,1,0.228,4.50%,26.80%,0.17,0.262,0.379,0.642,0.151,0.283,21,-10.5,0.271,4.5,62,0.5,-0.9,-1.4,90,50,74,122,39.10%,41.40%,19.50%,24.30%,36.10%,39.60%,15.10%,5751,N
2019,Cory Spangenberg,Brewers,32,95,102,22,16,2,2,2,11,10,6,1,36,0,0,1,1,3,0,0.232,5.90%,35.30%,0.17,0.277,0.358,0.635,0.126,0.351,8,-4.6,0.267,7.5,60,0.6,-0.3,0.3,42,66,85,156,35.00%,38.30%,26.70%,21.70%,30.00%,48.30%,25.00%,12294,N
2019,Isan Diaz,Marlins,49,179,201,31,19,5,2,5,17,23,19,0,59,2,1,0,2,0,3,0.173,9.50%,29.40%,0.32,0.259,0.307,0.566,0.134,0.224,13,-12.4,0.248,4,53,-1.4,-2,0.5,128,107,62,96,38.80%,45.50%,15.70%,28.10%,30.60%,41.30%,9.30%,17922,N
2019,Pat Valaika,Rockies,40,79,86,15,8,5,1,1,11,4,7,0,34,0,0,0,1,0,0,0.19,8.10%,39.50%,0.21,0.256,0.316,0.572,0.127,0.318,5,-5.3,0.248,5,34,0,0.2,0.2,125,92,102,78,24.40%,60.00%,15.60%,24.40%,37.80%,37.80%,5.00%,14885,N
2019,Tony Kemp,Cubs,44,82,93,15,9,3,2,1,8,12,7,0,18,2,2,0,2,0,1,0.183,7.50%,19.40%,0.39,0.258,0.305,0.563,0.122,0.215,6,-6.1,0.245,4.9,46,-0.5,0.5,-0.1,123,85,89,87,36.40%,51.50%,12.10%,19.70%,37.90%,42.40%,3.70%,14894,N
2019,Scooter Gennett,- - -,42,133,139,30,21,7,0,2,15,11,2,0,41,2,2,0,1,0,0,0.226,1.40%,29.50%,0.05,0.245,0.323,0.568,0.098,0.304,8,-9.5,0.241,2.2,44,-0.1,-0.5,0.5,92,16,110,101,35.50%,50.50%,14.00%,17.20%,39.80%,43.00%,6.70%,10339,N
2019,Daniel Descalso,Cubs,82,168,194,29,21,5,1,2,20,15,23,0,57,0,1,1,3,2,1,0.173,11.90%,29.40%,0.4,0.271,0.25,0.521,0.077,0.245,11,-13.8,0.238,4.6,42,-0.1,-0.8,0.2,97,134,92,106,31.90%,51.30%,16.80%,28.30%,35.40%,36.30%,5.30%,8392,N
2019,Yangervis Solarte,Giants,28,73,78,15,9,5,0,1,9,7,4,1,16,0,0,1,4,0,0,0.205,5.10%,20.50%,0.25,0.247,0.315,0.562,0.11,0.25,4,-5.7,0.236,2.3,44,0,0.4,-0.6,49,58,146,119,22.40%,58.60%,19.00%,19.00%,36.20%,44.80%,10.00%,5352,N
2019,Brendan Rodgers,Rockies,25,76,81,17,15,2,0,0,8,7,4,0,27,1,0,0,2,0,0,0.224,4.90%,33.30%,0.15,0.272,0.25,0.522,0.026,0.347,4,-6,0.234,1.9,25,0,0.7,-0.2,81,56,103,114,30.60%,42.90%,26.50%,36.70%,32.70%,30.60%,0.00%,17907,N
2019,Adrian Sanchez,Nationals,28,31,32,7,7,0,0,0,3,1,1,0,10,0,0,0,0,0,0,0.226,3.10%,31.30%,0.1,0.25,0.226,0.476,0,0.333,1,-3,0.212,1.9,23,0,0,0.3,27,35,110,156,19.10%,61.90%,19.10%,33.30%,42.90%,23.80%,0.00%,11338,N
2019,Corban Joseph,- - -,17,27,28,3,2,1,0,0,1,2,1,0,7,0,0,0,0,0,0,0.111,3.60%,25.00%,0.14,0.143,0.148,0.291,0.037,0.15,-1,-4.6,0.13,1.1,-26,0,0,0.1,127,40,92,82,30.00%,65.00%,5.00%,25.00%,35.00%,40.00%,0.00%,5503,N
2019,Ruben Tejada,Mets,6,9,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.00%,33.30%,0,0,0,0,0,0,-1,-2.5,0,0.1,-100,0,0,0,94,0,77,117,0.00%,100.00%,0.00%,33.30%,33.30%,33.30%,0.00%,5519,N
2019,Sam Haggerty,Mets,11,4,4,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0.00%,75.00%,0,0,0,0,0,0,-1,-1.1,0,0.1,-100,0,0.2,0,282,0,0,0,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,18054,N
2018,Jeff McNeil,Mets,63,225,248,74,54,11,6,3,35,19,14,1,24,5,0,4,2,7,1,0.329,5.60%,9.70%,0.58,0.381,0.471,0.852,0.142,0.359,40,10.7,0.368,7.2,137,0.8,3.6,1.1,114,63,99,89,30.20%,47.80%,22.00%,29.30%,35.10%,35.60%,3.80%,15362,N
2018,Javier Baez,Cubs,160,606,645,176,93,40,9,34,101,111,29,8,167,5,4,1,10,21,9,0.29,4.50%,25.90%,0.17,0.326,0.554,0.881,0.264,0.347,103,27.2,0.366,7.1,131,0.2,2.9,0.8,92,50,101,105,35.80%,44.80%,19.40%,26.10%,33.30%,40.50%,24.30%,12979,Y
2018,Scooter Gennett,Reds,154,584,638,181,125,30,3,23,86,92,42,3,125,4,5,3,14,4,2,0.31,6.60%,19.60%,0.34,0.357,0.49,0.847,0.18,0.358,99,24.4,0.362,3.7,125,-0.4,0.3,0.2,104,73,108,93,38.80%,45.60%,15.60%,27.40%,32.10%,40.50%,13.80%,10339,N
2018,Garrett Hampson,Rockies,24,40,48,11,7,3,1,0,3,4,7,0,12,1,0,0,0,2,0,0.275,14.60%,25.00%,0.58,0.396,0.4,0.796,0.125,0.393,7,1.6,0.355,6.6,108,0.4,0,0.3,103,162,92,102,28.60%,50.00%,21.40%,28.60%,39.30%,32.10%,0.00%,19262,N
2018,Ben Zobrist,Cubs,139,455,520,139,99,28,3,9,67,58,55,1,60,2,7,1,8,3,4,0.305,10.60%,11.50%,0.92,0.378,0.44,0.817,0.134,0.331,78,16.9,0.355,3.2,123,-1.4,1.9,0,87,118,99,111,35.50%,52.60%,11.90%,21.30%,31.50%,47.20%,7.40%,7435,N
2018,Adam Frazier,Pirates,113,318,352,88,53,23,2,10,52,35,29,2,53,3,1,1,3,1,3,0.277,8.20%,15.10%,0.55,0.342,0.456,0.798,0.179,0.305,49,8,0.343,3.6,116,-1.2,1.4,0,90,92,90,113,34.80%,49.80%,15.40%,27.30%,34.80%,37.80%,12.00%,15223,N
2018,Howie Kendrick,Nationals,40,152,160,46,28,14,0,4,17,12,5,1,29,2,1,0,6,1,1,0.303,3.10%,18.10%,0.17,0.331,0.474,0.805,0.171,0.35,22,3.6,0.342,2.3,112,-0.3,-1.3,-0.7,81,35,111,110,39.50%,43.60%,16.90%,25.80%,42.70%,31.50%,11.40%,4229,N
2018,Daniel Descalso,Diamondbacks,138,349,423,83,44,22,4,13,54,57,64,2,110,2,7,0,2,0,1,0.238,15.10%,26.00%,0.58,0.353,0.436,0.789,0.198,0.3,58,8.9,0.341,3.6,113,-0.7,1.5,1.4,133,169,108,70,43.10%,41.10%,15.90%,21.50%,29.30%,49.20%,11.40%,8392,N
2018,Daniel Murphy,- - -,91,328,351,98,71,15,0,12,40,42,20,2,40,0,3,0,5,3,0,0.299,5.70%,11.40%,0.5,0.336,0.454,0.79,0.155,0.308,48,6.6,0.338,3,110,0.4,-1.8,0,112,63,118,81,26.10%,61.20%,12.70%,36.10%,29.60%,34.40%,10.50%,4316,N
2018,Asdrubal Cabrera,- - -,147,546,592,143,83,36,1,23,68,75,41,1,119,3,2,0,16,0,0,0.262,6.90%,20.10%,0.34,0.316,0.458,0.774,0.196,0.296,77,8.1,0.332,1.8,111,-0.3,1,-0.3,111,77,87,97,38.50%,46.20%,15.40%,19.80%,32.40%,47.80%,13.90%,4962,N
2018,Ketel Marte,Diamondbacks,153,520,580,135,83,26,12,14,68,59,54,3,79,3,2,1,12,6,1,0.26,9.30%,13.60%,0.68,0.332,0.437,0.768,0.177,0.282,75,7.3,0.33,5.8,106,0.5,-1,-0.5,83,104,90,118,36.00%,43.00%,21.00%,24.10%,39.20%,36.70%,10.90%,13613,N
2018,Ozzie Albies,Braves,158,639,684,167,98,40,5,24,105,72,36,0,116,5,3,1,9,14,3,0.261,5.30%,17.00%,0.31,0.305,0.452,0.757,0.191,0.285,85,5.1,0.324,6.2,101,1.2,4,0.4,114,59,97,90,34.40%,49.30%,16.30%,24.10%,31.10%,44.80%,11.50%,16556,N
2018,DJ LeMahieu,Rockies,128,533,581,147,98,32,2,15,90,62,37,0,82,2,7,2,14,6,5,0.276,6.40%,14.10%,0.45,0.321,0.428,0.749,0.152,0.298,72,3.7,0.322,4.4,87,-1.2,0.6,-1,84,71,96,115,35.00%,48.70%,16.30%,29.60%,40.70%,29.80%,11.10%,9874,N
2018,Cesar Hernandez,Phillies,161,605,708,153,120,15,3,15,91,60,95,4,155,4,3,1,12,19,6,0.253,13.40%,21.90%,0.61,0.356,0.362,0.718,0.109,0.315,86,3.2,0.32,5,99,0.8,0.4,-1.1,96,149,94,106,24.00%,55.50%,20.50%,27.50%,32.20%,40.30%,10.20%,10556,N
2018,Trevor Plouffe,Phillies,7,12,12,3,2,0,0,1,1,3,0,0,6,0,0,0,0,0,0,0.25,0.00%,50.00%,0,0.25,0.5,0.75,0.25,0.4,1,0,0.316,0.1,96,0,0,0.1,191,0,76,39,50.00%,33.30%,16.70%,50.00%,33.30%,16.70%,25.00%,7462,N
2018,Starlin Castro,Marlins,154,593,647,165,119,32,2,12,76,54,48,3,124,0,6,0,18,6,4,0.278,7.40%,19.20%,0.39,0.329,0.4,0.729,0.121,0.33,76,0.4,0.315,3.6,101,-0.8,1,-1.9,83,83,92,118,37.30%,47.00%,15.80%,21.10%,38.70%,40.20%,8.80%,4579,N
2018,Kolten Wong,Cardinals,127,353,407,88,59,18,2,9,41,38,31,3,60,14,3,6,6,6,5,0.249,7.60%,14.70%,0.52,0.332,0.388,0.72,0.139,0.275,48,-0.1,0.314,4,99,-1.1,0.3,1.1,89,85,91,113,28.20%,50.30%,21.50%,24.20%,35.40%,40.40%,10.20%,12532,N
2018,Jonathan Villar,Brewers,87,257,279,67,50,10,1,6,26,22,19,0,80,2,1,0,9,14,2,0.261,6.80%,28.70%,0.24,0.315,0.377,0.693,0.117,0.355,30,-2.5,0.304,5.7,87,1.8,-0.7,-1.3,46,76,95,146,33.20%,38.80%,28.10%,23.60%,37.10%,39.30%,21.40%,10071,N
2018,Tommy La Stella,Cubs,123,169,192,45,36,8,0,1,23,19,17,1,27,2,0,0,5,0,1,0.266,8.90%,14.10%,0.63,0.34,0.331,0.672,0.065,0.312,20,-2.3,0.3,2.1,86,-0.5,0.4,-0.4,67,99,110,122,31.00%,48.60%,20.40%,25.40%,28.90%,45.80%,3.00%,12371,N
2018,Alen Hanson,Giants,110,294,310,74,44,17,5,8,36,39,9,0,71,1,3,3,4,7,3,0.252,2.90%,22.90%,0.13,0.274,0.425,0.699,0.173,0.303,32,-4.7,0.296,6.9,88,0,2.3,0.4,115,32,76,100,27.10%,52.00%,21.00%,17.50%,31.40%,51.10%,9.00%,12926,N
2018,Dilson Herrera,Reds,53,87,97,16,6,5,0,5,11,11,8,0,39,2,0,0,0,0,0,0.184,8.20%,40.20%,0.21,0.268,0.414,0.682,0.23,0.256,10,-1.6,0.295,1.5,80,0,0.3,0.4,150,92,119,50,31.30%,41.70%,27.10%,16.70%,33.30%,50.00%,20.80%,14335,N
2018,Hernan Perez,Brewers,132,316,334,80,58,11,2,9,36,29,17,1,71,0,1,0,6,11,3,0.253,5.10%,21.30%,0.24,0.29,0.386,0.676,0.133,0.3,33,-6.2,0.292,5.6,80,0.8,-0.5,0.3,106,57,96,97,34.60%,46.30%,19.10%,24.80%,40.70%,34.60%,10.00%,5751,N
2018,Cory Spangenberg,Padres,116,298,329,70,50,9,4,7,35,25,25,0,108,2,0,4,6,6,1,0.235,7.60%,32.80%,0.23,0.298,0.362,0.661,0.128,0.344,32,-6.5,0.29,6.2,82,0.6,2,-0.2,71,85,124,111,35.60%,47.40%,17.00%,30.40%,36.10%,33.50%,15.20%,12294,N
2018,Brian Dozier,Dodgers,47,143,170,26,12,9,0,5,16,20,24,0,33,1,2,0,5,4,0,0.182,14.10%,19.40%,0.73,0.3,0.35,0.65,0.168,0.196,16,-3.5,0.289,4.1,83,0.7,-0.5,-0.9,115,157,98,89,42.90%,42.00%,15.20%,14.30%,37.50%,48.20%,11.10%,9810,N
2018,Brad Miller,Brewers,27,74,80,17,11,3,1,2,5,8,6,1,31,0,0,0,2,0,0,0.23,7.50%,38.80%,0.19,0.288,0.378,0.666,0.149,0.366,7,-1.9,0.285,2.9,75,0,-0.8,-0.1,87,84,85,118,48.80%,30.20%,20.90%,16.30%,51.20%,32.60%,15.40%,12775,N
2018,Josh Harrison,Pirates,97,344,374,86,64,13,1,8,41,37,18,1,68,5,5,2,8,3,0,0.25,4.80%,18.20%,0.26,0.293,0.363,0.656,0.113,0.286,35,-9.1,0.285,4,77,0.4,2,0,107,54,114,87,32.90%,48.80%,18.40%,24.00%,30.00%,45.90%,7.80%,8202,N
