,Name,Season,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
134,Ji-Man Choi,2019,5452,27.04516465,20.02400193,37.39035574,0.263856602,0.772244327,54,19,63,0.261,0.822
135,Jose Pirela,2019,5485,47.52417333,7.235680544,41.51263566,0.269487869,0.729828554,#N/A,#N/A,#N/A,#N/A,#N/A
136,Austin Romine,2019,5491,23.38537848,-1.322976533,36.80065046,0.231999397,0.688419822,29,8,35,0.281,0.748
137,Marwin Gonzalez,2019,5497,66.20313527,19.96141946,53.84105136,0.266832562,0.791570848,52,15,55,0.264,0.736
138,Jarrod Saltalamacchia,2019,5557,27.24609426,18.64714833,56.26405472,0.169166954,0.775520195,#N/A,#N/A,#N/A,#N/A,#N/A
139,Matt Kemp,2019,5631,60.29050012,20.51270155,76.73107396,0.278015979,0.793308705,#N/A,#N/A,#N/A,#N/A,#N/A
140,Devin Mesoraco,2019,5666,27.77658434,23.85305011,29.72847009,0.225822873,0.701369519,#N/A,#N/A,#N/A,#N/A,#N/A
141,Steven Souza Jr.,2019,5667,49.3439177,14.93433731,34.53898086,0.238964218,0.791726978,#N/A,#N/A,#N/A,#N/A,#N/A
142,Hernan Perez,2019,5751,42.61946267,9.594857464,40.85207458,0.2592124,0.702527056,29,8,18,0.228,0.642
143,Avisail Garcia,2019,5760,53.66603865,19.62925842,58.26558375,0.254028031,0.738657185,61,20,72,0.282,0.796
144,Wilmer Flores,2019,5827,42.32735752,17.84675009,77.21280783,0.274420316,0.720359882,31,9,37,0.317,0.848
145,John Jaso,2019,5887,48.70462198,16.31213345,42.11043004,0.251431892,0.750097762,#N/A,#N/A,#N/A,#N/A,#N/A
146,Leury Garcia,2019,5913,30.71011686,2.079135361,24.95074355,0.263673606,0.660641953,93,8,40,0.279,0.688
147,Nick Markakis,2019,5930,90.61674125,9.518099219,91.0443301,0.293809606,0.842782638,61,9,62,0.285,0.776
148,Jean Segura,2019,5933,83.83554432,8.08397448,66.46136732,0.298947939,0.725817235,79,12,60,0.28,0.743
149,Didi Gregorius,2019,6012,73.69038667,20.57821599,97.19351305,0.265437933,0.756457214,47,16,61,0.238,0.718
150,Cristhian Adames,2019,6013,25.66330475,-1.720334731,11.47636067,0.218396802,0.622102175,#N/A,#N/A,#N/A,#N/A,#N/A
151,Aaron Hill,2019,6104,55.76415194,14.63671911,50.8983037,0.271629306,0.7567755,#N/A,#N/A,#N/A,#N/A,#N/A
152,Eduardo Escobar,2019,6153,70.24733143,20.39001906,82.4122399,0.262029057,0.791157991,94,35,118,0.269,0.831
153,J.D. Martinez,2019,6184,80.03628264,29.33926749,95.59144769,0.305367839,0.862207333,98,36,105,0.304,0.939
154,Ian Kinsler,2019,6195,72.69442075,17.59684664,56.28321903,0.250890837,0.776192928,28,9,22,0.217,0.646
155,Alcides Escobar,2019,6310,69.4369913,8.759076405,61.85703544,0.250034478,0.727173243,#N/A,#N/A,#N/A,#N/A,#N/A
156,Danny Valencia,2019,6364,39.91240477,14.16754101,60.54030158,0.255200383,0.72206772,#N/A,#N/A,#N/A,#N/A,#N/A
157,Adam Jones,2019,6368,80.23965884,16.72371163,72.08100209,0.27652166,0.750738319,66,16,67,0.26,0.728
158,Michael Bourn,2019,6387,49.66790146,4.682169662,37.03025149,0.264999694,0.687502478,#N/A,#N/A,#N/A,#N/A,#N/A
159,Kirk Nieuwenhuis,2019,6400,46.21648728,18.60034789,32.11852847,0.216451089,0.779431717,#N/A,#N/A,#N/A,#N/A,#N/A
160,Jordy Mercer,2019,6547,59.83837207,13.67587182,49.84294329,0.256463688,0.741866084,24,9,22,0.27,0.747
161,Bobby Wilson,2019,6564,20.76165958,19.33260301,39.0678961,0.225189143,0.644732164,#N/A,#N/A,#N/A,#N/A,#N/A
162,Sean Rodriguez,2019,6589,41.83859379,21.99817975,52.2544065,0.268821816,0.791196346,24,4,12,0.223,0.723
163,Freddy Galvis,2019,6609,77.79540772,12.90800647,78.9813944,0.25767168,0.794395967,67,23,70,0.26,0.734
164,Chase d'Arnaud,2019,6652,30.40111059,3.589037098,30.0177767,0.257784931,0.678265175,#N/A,#N/A,#N/A,#N/A,#N/A
165,JB Shuck,2019,6677,16.83632135,-0.646196313,18.74505799,0.218895622,0.603179072,#N/A,#N/A,#N/A,#N/A,#N/A
