"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2015","Brennan Boesch","Reds","51","89","94","13","10","2","0","1","4","5","4","0","30","1","0","0","0","1","0",".146","4.3 %","31.9 %","0.13",".191",".202",".394",".056",".207","1","-10.1",".179","3.0","4","0.2","0.1","0.4","77","54","79","127","20.3 %","55.9 %","23.7 %","20.3 %","33.9 %","45.8 %","6.7 %","914"
"2016","Oswaldo Arcia","- - -","16","45","47","5","2","1","0","2","2","4","2","0","15","0","0","0","0","0","0",".111","4.3 %","31.9 %","0.13",".149",".267",".416",".156",".107","0","-5.4",".179","0.1","6","0.0","0.2","0.3","88","49","63","127","26.7 %","63.3 %","10.0 %","20.0 %","23.3 %","56.7 %","22.2 %","10306"
"2017","Mark Zagunis","Cubs","7","14","18","0","0","0","0","0","0","1","4","0","6","0","0","0","0","2","0",".000","22.2 %","33.3 %","0.67",".222",".000",".222",".000",".000","0","-2.5",".154","5.0","-14","0.4","0.1","0.0","71","247","61","141","12.5 %","62.5 %","25.0 %","37.5 %","0.0 %","62.5 %","0.0 %","16565"
"2018","Kevin Kaczmarski","Mets","4","4","5","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",".000","20.0 %","20.0 %","1.00",".200",".000",".200",".000",".000","0","-0.7",".138","2.5","-17","-0.4","0.0","0.0","191","223","0","77","33.3 %","0.0 %","66.7 %","33.3 %","66.7 %","0.0 %","0.0 %","18146"
"2014","Brett Jackson","Diamondbacks","7","4","5","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","20.0 %","20.0 %","1.00",".200",".000",".200",".000",".000","0","-0.7",".138","0.1","-26","0.0","0.0","0.0","0","256","0","223","0.0 %","66.7 %","33.3 %","33.3 %","0.0 %","66.7 %","0.0 %","9632"
"2014","Jeff Francoeur","Padres","10","24","28","2","2","0","0","0","2","1","3","0","7","0","1","0","0","0","0",".083","10.7 %","25.0 %","0.43",".179",".083",".262",".000",".111","-1","-3.7",".138","2.0","-17","0.0","0.3","0.2","98","137","132","87","16.7 %","50.0 %","33.3 %","27.8 %","33.3 %","38.9 %","0.0 %","4792"
"2016","Mike Freeman","Diamondbacks","8","9","11","0","0","0","0","0","0","0","2","0","5","0","0","0","1","0","0",".000","18.2 %","45.5 %","0.40",".182",".000",".182",".000",".000","0","-1.7",".126","0.1","-38","0.0","0.0","-0.2","73","210","0","168","25.0 %","50.0 %","25.0 %","0.0 %","50.0 %","50.0 %","0.0 %","11241"
"2018","Adolis Garcia","Cardinals","21","17","17","2","1","1","0","0","3","1","0","0","7","0","0","0","0","0","0",".118","0.0 %","41.2 %","0.00",".118",".176",".294",".059",".200","-1","-2.6",".125","2.6","-28","0.0","-0.2","0.1","115","0","46","116","20.0 %","40.0 %","40.0 %","10.0 %","30.0 %","60.0 %","0.0 %","19287"
"2019","Drew Robinson","Cardinals","5","7","7","1","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0",".143","0.0 %","42.9 %","0.00",".143",".143",".286",".000",".250","0","-1.2",".124","2.6","-29","0.0","0.1","0.0","212","0","0","58","25.0 %","25.0 %","50.0 %","50.0 %","50.0 %","0.0 %","0.0 %","11761"
"2017","Danny Ortiz","Pirates","9","12","13","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".083","7.7 %","7.7 %","1.00",".154",".083",".237",".000",".091","-1","-2.2",".121","2.6","-35","0.0","0.2","0.1","181","85","44","62","54.6 %","27.3 %","18.2 %","54.6 %","18.2 %","27.3 %","0.0 %","10317"
