Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Lorenzo Cain,Royals,CF,155,584,645,175,128,27,5,15,86,49,54,1,100,5,2,0,20,26,2,0.3,8.40%,15.50%,0.54,0.363,0.44,0.803,0.14,6.5,0.34,93,14,0.347,115,3.9,2.2,-2.6,99,112,103,90,9.40%,31.10%,40.50%,28.40%,18.70%,50.20%,31.10%,9077
2016,Adam Eaton,White Sox,CF,157,619,706,176,124,29,9,14,91,59,63,2,115,14,3,7,6,14,5,0.284,8.90%,16.30%,0.55,0.362,0.428,0.79,0.144,5.9,0.329,98,14.9,0.344,117,0.3,2.2,2,111,100,122,73,11.00%,30.70%,31.90%,37.40%,17.50%,51.00%,31.50%,11205
2017,Carlos Gomez,Rangers,CF,105,368,426,94,53,23,1,17,51,51,31,0,127,19,5,3,3,13,5,0.255,7.30%,29.80%,0.24,0.34,0.462,0.802,0.207,5,0.336,60,8.1,0.343,105,0.2,0.7,1.2,86,101,90,111,17.30%,37.40%,41.00%,21.70%,16.50%,44.60%,39.00%,4881
2017,Jake Marisnick,Astros,CF,106,230,259,56,30,10,0,16,50,35,20,1,90,6,1,2,5,9,4,0.243,7.70%,34.70%,0.22,0.319,0.496,0.815,0.252,5.5,0.32,36,4.8,0.343,117,0,3,0,92,76,85,131,24.60%,39.90%,30.10%,30.10%,18.20%,53.20%,28.70%,11339
2018,George Springer,Astros,CF,140,544,620,144,96,26,0,22,102,71,64,0,122,5,3,0,12,6,4,0.265,10.30%,19.70%,0.52,0.346,0.434,0.78,0.169,3.6,0.303,85,12.7,0.34,118,-0.8,1.2,-1.3,124,75,117,95,15.00%,39.80%,36.90%,23.30%,17.70%,48.90%,33.40%,12856
2018,Mallex Smith,Rays,CF,141,480,544,142,103,27,10,2,65,40,47,0,98,8,2,7,11,40,12,0.296,8.60%,18.00%,0.48,0.367,0.406,0.773,0.11,7.7,0.366,75,11,0.339,118,2.7,4.1,-0.2,104,117,117,70,2.10%,28.90%,37.90%,33.30%,19.20%,53.70%,27.10%,13608
2017,Kevin Kiermaier,Rays,CF,98,380,421,105,72,15,3,15,56,39,31,2,99,5,1,4,3,16,7,0.276,7.40%,23.50%,0.31,0.338,0.45,0.788,0.174,5.9,0.337,57,5.6,0.337,113,0,3.6,1.7,87,90,115,88,16.70%,39.20%,38.50%,22.40%,22.00%,46.20%,31.80%,11038
2016,Ian Desmond,Rangers,CF,156,625,677,178,124,29,3,22,107,86,44,2,160,5,3,0,11,21,6,0.285,6.50%,23.60%,0.28,0.335,0.446,0.782,0.162,6,0.35,90,9.8,0.336,103,1.4,3.8,0.4,81,101,121,73,18.20%,31.20%,38.00%,30.80%,20.50%,49.20%,30.30%,6885
2017,Mikie Mahtook,Tigers,CF,109,348,379,96,63,15,6,12,50,38,23,0,79,6,2,0,4,6,0,0.276,6.10%,20.80%,0.29,0.33,0.457,0.787,0.181,6.8,0.324,51,4.6,0.335,107,1,0.8,1.4,72,100,107,92,13.30%,43.90%,36.20%,19.90%,15.50%,46.50%,38.00%,13130
2018,Mark Canha,Athletics,CF,122,365,411,91,52,22,0,17,60,52,34,3,88,10,2,0,11,1,2,0.249,8.30%,21.40%,0.39,0.328,0.449,0.778,0.2,2.5,0.282,55,6.5,0.334,114,-0.8,0.8,-0.5,100,103,90,110,15.20%,44.80%,34.10%,21.20%,18.60%,44.10%,37.30%,11445
2017,Adam Jones,Orioles,CF,147,597,635,170,115,28,1,26,82,73,27,1,113,7,3,1,18,2,1,0.285,4.30%,17.80%,0.24,0.322,0.466,0.787,0.181,2.7,0.312,84,7,0.334,106,-0.4,3.6,-1.9,50,103,104,94,15.70%,41.40%,29.90%,28.70%,20.10%,49.00%,30.90%,6368
2017,Alex Presley,Tigers,CF,71,245,264,77,61,10,3,3,30,20,15,0,49,0,0,3,5,5,0,0.314,5.70%,18.60%,0.31,0.354,0.416,0.77,0.102,5.8,0.383,35,2.9,0.334,107,0.8,-2.2,0.1,67,153,105,64,6.50%,35.70%,37.70%,26.60%,18.60%,57.30%,24.10%,5305
2018,Jake Cave,Twins,CF,91,283,309,75,44,16,2,13,54,45,18,2,102,3,3,2,2,2,1,0.265,5.80%,33.00%,0.18,0.313,0.473,0.786,0.208,5.5,0.363,41,4.5,0.332,109,-0.2,-0.6,1.4,70,121,103,84,23.20%,35.50%,43.00%,21.50%,8.60%,53.80%,37.60%,14477
2018,Tony Kemp,Astros,CF,97,255,295,67,46,15,0,6,37,30,32,1,44,3,1,3,7,9,3,0.263,10.80%,14.90%,0.73,0.351,0.392,0.743,0.129,4.3,0.296,37,3,0.327,110,0.4,-1.7,-0.7,131,110,105,88,9.10%,49.30%,28.80%,21.90%,16.70%,53.00%,30.20%,14894
2018,Jon Jay,Royals,CF,59,238,266,73,61,9,2,1,28,18,19,0,39,3,2,4,4,3,2,0.307,7.10%,14.70%,0.49,0.363,0.374,0.737,0.067,4,0.36,33,2.4,0.326,103,-0.4,-1.7,-0.4,86,101,140,53,2.60%,35.60%,29.80%,34.60%,10.70%,54.60%,34.60%,5227
2017,Jacoby Ellsbury,Yankees,CF,112,356,409,94,63,20,4,7,65,39,41,3,63,5,0,2,7,22,3,0.264,10.00%,15.40%,0.65,0.348,0.402,0.75,0.138,7.7,0.304,51,1.6,0.326,102,2.9,0.8,1,119,114,106,85,7.80%,42.00%,30.20%,27.80%,22.70%,51.20%,26.10%,4727
2018,Leonys Martin,Tigers,CF,84,318,353,81,52,15,3,11,48,33,30,1,77,3,2,0,2,7,4,0.255,8.50%,21.80%,0.39,0.323,0.425,0.747,0.17,5.6,0.302,44,2.4,0.323,102,-0.4,0.8,0.6,102,83,86,127,10.30%,44.40%,30.00%,25.50%,18.90%,43.20%,37.90%,11846
2016,Kevin Kiermaier,Rays,CF,105,366,414,90,56,20,2,12,55,37,40,1,74,7,1,0,5,21,3,0.246,9.70%,17.90%,0.54,0.331,0.41,0.741,0.164,6.4,0.278,50,1.6,0.323,104,2.7,2.7,1.2,120,101,95,106,11.10%,49.50%,27.70%,22.90%,26.60%,42.00%,31.40%,11038
2016,Lorenzo Cain,Royals,CF,103,397,434,114,85,19,1,9,56,56,31,3,84,2,4,0,15,14,5,0.287,7.10%,19.40%,0.37,0.339,0.408,0.747,0.121,4.8,0.341,52,1.4,0.322,99,0.5,2.6,-2,89,111,108,84,9.50%,34.40%,38.50%,27.10%,20.20%,49.80%,30.00%,9077
2016,Adam Jones,Orioles,CF,152,619,672,164,116,19,0,29,86,83,39,2,115,5,8,1,13,2,0,0.265,5.80%,17.10%,0.34,0.31,0.436,0.746,0.171,2.6,0.28,79,0.2,0.319,98,0,2.2,-0.8,72,81,98,114,14.10%,40.40%,36.10%,23.60%,19.10%,48.30%,32.60%,6368
2017,Leury Garcia,White Sox,CF,87,300,326,81,55,15,2,9,41,33,13,0,69,8,2,3,4,8,5,0.27,4.00%,21.20%,0.19,0.316,0.423,0.739,0.153,5.4,0.321,39,-1.1,0.317,98,-0.7,-0.5,0.6,47,102,128,66,16.40%,39.00%,36.00%,25.00%,23.70%,49.60%,26.70%,5913
2016,Paulo Orlando,Royals,CF,128,457,484,138,105,24,4,5,52,43,13,1,105,7,3,3,12,14,3,0.302,2.70%,21.70%,0.12,0.329,0.405,0.734,0.103,5.9,0.38,56,-0.5,0.317,96,1.3,0.2,-0.9,33,107,119,73,5.60%,34.10%,39.10%,26.80%,18.20%,52.80%,29.10%,8628
