,Name,Season,playerid,weightWRC,weightPA,weightH,weightAB,weightRBI,weightG,weight2B,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns
36,Darwin Barney,2019,2430,-0.6092982516342089,-0.4689618215538379,-0.41745586448453154,-0.43117576462694773,-0.7303305377003525,-0.06607238282563531,-0.4716144640622456,43.088792214115294,42.473508556369445,42.88090219988169,43.080171302727926,42.91986495030522,43.06890929615088,43.1152235454817
204,Chris Iannetta,2019,8267,-0.4620991945094135,-0.7115765139242052,-0.9208376703073604,-0.844747605272784,-0.6406491077724071,-0.6087445284252094,-0.6411273801184192,43.19626063049549,42.42729636822446,37.96216252332134,43.22234300453124,43.299107670026615,43.25463225748926,43.221998317942585
366,James McCann,2019,12859,-0.768759172628148,-0.15532810332950303,-0.35574848418727556,-0.06056968318145174,-0.408473890969113,-0.22785127882747866,-0.6618269124972749,43.26776254214877,42.25641860543013,44.17260623116096,43.24572545396303,42.76944008565792,43.20487675286327,43.186143282526935
347,Cory Spangenberg,2019,12294,-0.6559646979178089,-0.5034788306257121,-0.5137819006445874,-0.4641579420439728,-0.8573459767888149,0.007610002742027611,-0.9723198981801111,43.89259658063182,42.17860024846165,41.93910251643953,43.77019740846594,43.460484138089846,43.49492996947539,43.774817004101216
185,Trevor Plouffe,2019,7462,-0.5881492876260204,-0.49076253123272773,-0.5180225840482755,-0.46010948171451815,-0.474937799216729,-0.5750842709244209,-0.688959554040231,42.926671688859415,42.04236270659402,40.845213143124944,42.8972262066307,42.56196958793465,42.83197822517467,42.85105102247921
446,Hunter Dozier,2019,15117,-0.6982626259341861,-0.4248641502685036,-0.5401208033874727,-0.31429612533399254,-0.7528671292273326,-0.6122071943306434,-0.2167869663518763,44.94485864561125,41.94140604873581,42.303182986748595,44.64843911823017,44.39081823501893,43.971464605524794,44.69224549595206
8,Ichiro Suzuki,2019,1101,-0.5458513596096431,-0.643367498984956,-0.4749225613780995,-0.6359374547851386,-0.7535480593806819,0.41177551212424507,-0.6579102554719474,41.973491849104796,41.79839723872678,43.34114519538155,41.985290761244286,42.057222834881166,42.03059103266338,42.08517916908178
305,Delino DeShields,2019,11379,-0.7722839999628461,-0.42420352270247663,-0.6766042085096966,-0.5413145209441607,-1.252043845354415,-0.43907389905894756,-0.7756743405809816,41.467273971984035,41.7451914239262,40.64941775411258,41.70631707983296,41.38585786828121,42.216041115608405,41.61463358374679
60,Matt Joyce,2019,3353,-0.514971604529885,-0.7413047543954184,-0.9567543558658405,-0.8632948598160983,-0.7683454770142188,-0.4702378922078527,-0.4962306534664289,42.66512068757061,41.61212781122085,37.957074724341,42.64738534784937,42.84588214160388,42.58138558143377,42.69810430988753
96,Ben Revere,2019,4712,-0.6938941076669634,-0.43923358108262467,-0.3959058531494436,-0.37330833045180684,-0.7303305377003525,-0.28422033486797205,-0.6268609569036638,42.17915672191255,41.448897911060115,41.91272039216584,42.16618128052086,41.80792308930157,42.14542135465896,42.148278859463986
