Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Jay Bruce,Reds,RF,147,539,589,135,69,27,6,33,74,99,44,7,126,3,3,0,14,4,2,0.25,7.50%,21.40%,0.35,0.309,0.506,0.815,0.256,4.4,0.266,80,10.4,0.34,111,-0.3,-3.1,0.3,86,103,83,120,19.40%,44.50%,35.80%,19.70%,14.70%,47.10%,38.20%,9892
2016,Curtis Granderson,Mets,RF,150,545,633,129,70,24,5,30,88,59,74,7,130,9,5,0,10,4,2,0.237,11.70%,20.50%,0.57,0.335,0.464,0.799,0.228,4.4,0.254,86,11,0.339,116,-0.3,2.2,0,135,102,81,123,17.00%,43.60%,36.70%,19.80%,15.70%,47.40%,36.90%,4747
2018,Andrew McCutchen,Giants,RF,130,482,568,123,78,28,2,15,65,55,73,1,123,7,6,0,11,13,6,0.255,12.90%,21.70%,0.59,0.357,0.415,0.772,0.16,4.5,0.309,77,10.9,0.338,116,-0.2,-4.3,0.5,143,109,94,102,11.50%,43.80%,35.10%,21.10%,14.00%,41.90%,44.10%,9847
2018,Hunter Renfroe,Padres,RF,117,403,441,100,50,23,1,26,53,68,30,2,109,3,5,0,9,2,1,0.248,6.80%,24.70%,0.28,0.302,0.504,0.805,0.256,2.8,0.271,60,8.5,0.338,114,-0.2,-0.4,-0.5,76,90,87,123,20.30%,48.80%,33.10%,18.10%,18.10%,34.80%,47.20%,15464
2018,Carlos Gonzalez,Rockies,RF,132,463,504,128,76,32,4,16,71,64,37,4,113,1,3,0,5,5,2,0.276,7.30%,22.40%,0.33,0.329,0.467,0.796,0.19,5,0.332,69,9.6,0.338,97,-0.1,2,1.7,82,74,111,103,12.70%,34.00%,39.40%,26.60%,21.30%,43.60%,35.10%,7287
2018,Scott Schebler,Reds,RF,107,380,430,97,61,19,0,17,55,49,39,1,99,9,2,0,5,4,2,0.255,9.10%,23.00%,0.39,0.337,0.439,0.777,0.184,3,0.301,58,7.8,0.337,108,-0.3,0.1,0.5,101,99,113,85,20.20%,44.90%,34.60%,20.50%,15.90%,45.90%,38.20%,12225
2016,Matt Kemp,Padres,RF,156,623,672,167,93,39,0,35,89,108,36,6,156,1,12,0,17,1,0,0.268,5.40%,23.20%,0.23,0.304,0.499,0.803,0.231,2.2,0.297,88,8.5,0.333,108,-0.1,-0.2,-0.4,62,96,89,116,18.40%,44.50%,33.00%,22.60%,15.20%,48.90%,35.90%,5631
2018,Brian Anderson,Marlins,RF,156,590,670,161,112,34,4,11,87,65,62,2,129,16,2,0,18,2,4,0.273,9.30%,19.30%,0.48,0.357,0.4,0.757,0.127,3.5,0.332,88,10,0.333,112,-1.7,2.9,-1.8,103,90,120,82,8.30%,38.40%,35.40%,26.10%,16.20%,45.60%,38.20%,18289
2016,Gregory Polanco,Pirates,RF,144,527,587,136,76,34,4,22,79,86,53,6,119,0,6,1,13,17,6,0.258,9.00%,20.30%,0.45,0.323,0.463,0.786,0.205,5.6,0.291,75,6.3,0.331,106,0.7,-1.3,0.7,104,113,87,109,14.40%,49.20%,28.20%,22.70%,18.30%,46.00%,35.70%,12907
2017,Curtis Granderson,Mets,RF,147,449,527,95,42,24,3,26,74,64,71,2,123,4,3,0,5,6,2,0.212,13.50%,23.30%,0.58,0.323,0.452,0.775,0.241,4.8,0.228,68,4.1,0.33,106,0.1,1.5,1.3,150,91,74,138,16.30%,48.60%,34.00%,17.30%,17.60%,47.10%,35.30%,4747
2018,Eric Thames,Brewers,RF,96,247,278,54,25,10,3,16,41,37,29,4,97,2,0,0,3,7,0,0.219,10.40%,34.90%,0.3,0.306,0.478,0.783,0.259,7.6,0.284,36,3.4,0.33,105,1.3,0,0.5,116,92,77,134,22.90%,44.00%,34.00%,22.00%,12.00%,42.00%,46.00%,3711
2017,Scott Schebler,Reds,RF,141,473,531,110,53,25,2,30,63,67,39,5,125,14,5,0,7,5,3,0.233,7.30%,23.50%,0.31,0.307,0.484,0.791,0.252,3.9,0.248,69,4,0.33,99,-0.5,0.1,1.1,82,79,103,108,22.40%,45.90%,33.70%,20.40%,19.30%,41.40%,39.40%,12225
2016,Scott Schebler,Reds,RF,82,257,282,68,45,12,2,9,36,40,19,2,59,6,0,0,5,2,4,0.265,6.70%,20.90%,0.32,0.33,0.432,0.762,0.167,4.1,0.312,35,2.2,0.328,100,-1.4,1.9,0.2,78,87,118,85,15.80%,46.50%,28.30%,25.30%,16.20%,50.50%,33.30%,12225
2017,Carlos Gonzalez,Rockies,RF,136,470,534,123,75,34,0,14,72,57,56,3,119,2,6,0,9,3,0,0.262,10.50%,22.30%,0.47,0.339,0.423,0.762,0.162,3.2,0.318,68,2.7,0.327,85,0.3,-1.4,0.6,117,96,110,90,12.40%,41.50%,38.10%,20.50%,20.50%,47.60%,31.90%,7287
2018,Harrison Bader,Cardinals,RF,138,379,427,100,66,20,2,12,61,37,31,3,125,11,4,2,1,15,3,0.264,7.30%,29.30%,0.25,0.334,0.422,0.756,0.158,6.5,0.358,54,4.1,0.326,107,1.5,4.1,2,81,123,92,96,14.10%,46.50%,29.60%,23.90%,21.50%,40.80%,37.70%,18030
