"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2016","Charlie Blackmon","Rockies","143","578","641","187","118","35","5","29","111","82","43","4","102","13","4","3","2","17","9",".324","6.7 %","15.9 %","0.42",".381",".552",".933",".228",".350","116","40.1",".394","5.9","132","-0.7","1.9","1.7","111","78","131","77","34.4 %","46.6 %","19.1 %","24.8 %","31.3 %","43.9 %","16.2 %","7859"
"2015","Yoenis Cespedes","Mets","57","230","249","66","31","14","4","17","39","44","14","3","54","4","1","0","5","4","1",".287","5.6 %","21.7 %","0.26",".337",".604",".942",".317",".306","44","16.0",".394","6.6","156","0.3","1.0","0.3","126","71","90","86","36.7 %","45.2 %","18.1 %","27.7 %","31.1 %","41.2 %","23.0 %","13110"
"2017","Michael Conforto","Mets","109","373","440","104","56","20","1","27","72","68","57","5","113","8","2","0","3","2","0",".279","13.0 %","25.7 %","0.50",".384",".555",".939",".276",".328","80","26.4",".392","3.6","147","0.1","1.8","1.0","107","144","119","85","41.6 %","38.2 %","20.2 %","27.9 %","39.7 %","32.4 %","27.3 %","16376"
"2018","Brandon Nimmo","Mets","140","433","535","114","61","28","8","17","77","47","80","2","140","22","0","0","8","9","6",".263","15.0 %","26.2 %","0.57",".404",".483",".886",".219",".351","93","30.8",".385","5.9","148","-1.0","3.2","-0.3","96","167","99","104","37.2 %","44.4 %","18.4 %","23.2 %","32.1 %","44.7 %","17.5 %","12927"
"2014","Gary Brown","Giants","7","7","7","3","3","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".429","0.0 %","0.0 %","0.00",".429",".429",".857",".000",".429","1","0.4",".382","1.6","150","0.0","0.2","0.0","98","0","79","112","0.0 %","85.7 %","14.3 %","0.0 %","57.1 %","42.9 %","0.0 %","11464"
"2015","Andrew McCutchen","Pirates","157","566","685","165","103","36","3","23","91","96","98","12","133","12","9","0","9","11","5",".292","14.3 %","19.4 %","0.74",".401",".488",".889",".196",".339","114","36.7",".380","4.2","144","-0.2","-1.5","0.6","116","180","110","84","39.4 %","47.5 %","13.1 %","23.3 %","37.8 %","38.9 %","13.6 %","9847"
"2019","Randy Arozarena","Cardinals","19","20","23","6","4","1","0","1","4","2","2","0","4","1","0","0","0","2","1",".300","8.7 %","17.4 %","0.50",".391",".500",".891",".200",".333","4","1.2",".380","5.8","138","-0.1","-0.3","0.3","88","98","58","131","37.5 %","37.5 %","25.0 %","25.0 %","31.3 %","43.8 %","20.0 %","19290"
"2014","Yasiel Puig","Dodgers","148","558","640","165","103","37","9","16","92","69","67","3","124","12","1","2","7","11","7",".296","10.5 %","19.4 %","0.54",".382",".480",".863",".185",".356","103","34.1",".379","5.8","148","-1.1","0.9","1.8","98","134","71","115","34.6 %","48.1 %","17.4 %","23.8 %","36.2 %","40.1 %","11.1 %","14225"
"2015","Gerardo Parra","Brewers","100","323","351","106","68","24","5","9","53","31","20","2","57","3","4","1","7","9","3",".328","5.7 %","16.2 %","0.35",".369",".517",".886",".189",".372","57","17.8",".377","6.6","138","0.4","-1.1","0.3","88","72","111","104","34.3 %","47.2 %","18.5 %","27.3 %","36.2 %","36.5 %","11.8 %","8553"
"2018","Bryce Harper","Nationals","159","550","695","137","69","34","0","34","103","100","130","16","169","6","9","0","7","13","3",".249","18.7 %","24.3 %","0.77",".393",".496",".889",".247",".289","116","34.6",".376","3.7","134","0.9","-2.8","2.3","109","208","102","92","42.3 %","45.9 %","11.8 %","28.2 %","29.5 %","42.3 %","23.1 %","11579"
"2019","Franchy Cordero","Padres","9","15","20","5","4","1","0","0","2","1","4","0","7","0","1","0","0","1","0",".333","20.0 %","35.0 %","0.57",".450",".400",".850",".067",".556","3","0.9",".373","4.5","133","0.2","0.5","0.1","106","226","173","58","55.6 %","44.4 %","0.0 %","11.1 %","44.4 %","44.4 %","0.0 %","14567"
"2014","A.J. Pollock","Diamondbacks","75","265","287","80","48","19","6","7","41","24","19","0","46","2","0","1","4","14","3",".302","6.6 %","16.0 %","0.41",".353",".498",".851",".196",".344","45","13.7",".372","7.8","134","1.4","0.2","0.7","99","85","67","116","30.0 %","55.5 %","14.6 %","18.6 %","39.6 %","41.8 %","9.5 %","9256"
"2017","Pedro Florimon","Phillies","15","46","49","16","11","4","1","0","6","6","3","0","16","0","0","0","1","0","0",".348","6.1 %","32.7 %","0.19",".388",".478",".866",".130",".533","8","2.1",".371","4.0","128","0.0","-0.2","0.1","59","68","151","109","30.0 %","50.0 %","20.0 %","23.3 %","33.3 %","43.3 %","0.0 %","8385"
"2015","A.J. Pollock","Diamondbacks","157","609","673","192","127","39","6","20","111","76","53","0","89","2","9","0","19","39","7",".315","7.9 %","13.2 %","0.60",".367",".498",".865",".182",".338","107","31.0",".371","7.1","131","4.7","3.9","-1.9","88","99","97","110","34.4 %","50.7 %","14.9 %","24.4 %","36.9 %","38.8 %","13.2 %","9256"
"2015","Randal Grichuk","Cardinals","103","323","350","89","42","23","7","17","49","47","22","2","110","4","1","0","6","4","2",".276","6.3 %","31.4 %","0.20",".329",".548",".877",".272",".365","55","15.9",".370","5.9","138","-0.1","1.3","0.6","126","79","96","83","36.9 %","47.2 %","15.9 %","18.7 %","30.8 %","50.5 %","19.1 %","10243"
"2018","Victor Robles","Nationals","21","59","66","17","10","3","1","3","8","10","4","0","12","2","1","0","2","3","2",".288","6.1 %","18.2 %","0.33",".348",".525",".874",".237",".311","11","3.0",".370","6.6","131","-0.3","0.1","-0.2","140","68","112","62","35.4 %","43.8 %","20.8 %","27.1 %","31.3 %","41.7 %","13.6 %","18363"
"2014","Matt Kemp","Dodgers","150","541","599","155","89","38","3","25","77","89","52","3","145","0","6","0","21","8","5",".287","8.7 %","24.2 %","0.36",".346",".506",".852",".220",".345","92","27.3",".369","4.2","141","-0.8","-2.4","-2.4","91","111","123","96","40.3 %","51.7 %","8.0 %","20.7 %","35.1 %","44.3 %","20.0 %","5631"
"2016","Yoenis Cespedes","Mets","132","479","543","134","77","25","1","31","72","86","51","8","108","7","6","0","14","3","1",".280","9.4 %","19.9 %","0.47",".354",".530",".884",".251",".298","87","22.8",".369","2.9","136","-0.1","0.4","-0.8","121","109","101","83","39.3 %","45.4 %","15.4 %","23.9 %","36.9 %","39.3 %","19.9 %","13110"
"2019","Ronald Acuna Jr.","Braves","156","626","715","175","110","22","2","41","127","101","76","4","188","9","1","0","8","37","9",".280","10.6 %","26.3 %","0.40",".365",".518",".883",".238",".337","120","30.3",".369","6.2","126","3.1","4.6","0.4","106","120","112","89","46.0 %","39.9 %","14.1 %","27.1 %","32.8 %","40.1 %","24.8 %","18401"
"2017","Adam Eaton","Nationals","23","91","107","27","17","7","1","2","24","13","14","0","18","1","1","0","0","3","1",".297","13.1 %","16.8 %","0.78",".393",".462",".854",".165",".347","17","4.3",".369","6.9","124","0.1","1.4","0.3","89","145","73","121","31.1 %","54.1 %","14.9 %","33.8 %","36.5 %","29.7 %","8.7 %","11205"
"2018","Charlie Blackmon","Rockies","156","626","696","182","115","31","7","29","119","70","59","2","134","8","2","1","10","12","4",".291","8.5 %","19.3 %","0.44",".358",".502",".860",".211",".329","111","30.1",".368","6.1","117","0.3","1.2","-0.1","96","94","106","100","35.8 %","48.3 %","16.0 %","22.2 %","37.0 %","40.8 %","17.7 %","7859"
"2014","Carlos Gomez","Brewers","148","574","644","163","102","34","4","23","95","73","47","0","141","19","3","1","11","34","12",".284","7.3 %","21.9 %","0.33",".356",".477",".833",".193",".339","98","28.4",".368","6.5","132","1.6","0.6","-0.6","120","93","103","84","35.9 %","45.5 %","18.5 %","24.0 %","32.3 %","43.7 %","13.4 %","4881"
"2016","Dexter Fowler","Cubs","125","456","551","126","81","25","7","13","84","48","79","0","124","11","4","1","3","13","4",".276","14.3 %","22.5 %","0.64",".393",".447",".840",".171",".350","87","22.2",".367","6.5","129","0.6","4.2","1.3","104","166","112","91","30.6 %","51.9 %","17.5 %","22.6 %","38.0 %","39.5 %","11.0 %","4062"
"2016","Andrew Toles","Dodgers","48","105","115","33","20","9","1","3","19","16","8","2","25","1","1","0","1","1","1",".314","7.0 %","21.7 %","0.32",".365",".505",".870",".190",".385","18","4.4",".365","4.8","131","-0.3","1.8","0.6","87","81","105","108","32.1 %","49.4 %","18.5 %","28.4 %","34.6 %","37.0 %","12.5 %","13414"
"2019","David Dahl","Rockies","100","374","413","113","65","28","5","15","67","61","28","0","110","4","5","2","3","4","4",".302","6.8 %","26.6 %","0.25",".353",".524",".877",".222",".386","68","15.7",".364","5.6","110","-1.2","0.2","1.6","92","77","120","97","36.5 %","50.2 %","13.3 %","27.7 %","35.4 %","36.9 %","17.2 %","13744"
"2017","Chris Taylor","Dodgers","140","514","568","148","88","34","5","21","85","72","50","0","142","3","1","0","2","17","4",".288","8.8 %","25.0 %","0.35",".354",".496",".850",".208",".361","89","19.3",".361","6.4","126","1.4","3.0","2.3","102","98","110","94","32.4 %","51.7 %","15.8 %","28.2 %","33.5 %","38.3 %","15.8 %","13757"
"2017","Andrew McCutchen","Pirates","156","570","650","159","99","30","2","28","94","88","73","5","116","4","3","0","10","11","5",".279","11.2 %","17.8 %","0.63",".363",".486",".849",".207",".305","101","21.5",".360","4.3","122","-0.3","0.1","1.3","106","125","107","92","35.2 %","47.3 %","17.5 %","20.6 %","36.8 %","42.7 %","16.4 %","9847"
"2016","Joc Pederson","Dodgers","137","406","476","100","49","26","0","25","64","68","63","4","130","4","2","1","5","6","2",".246","13.2 %","27.3 %","0.48",".352",".495",".847",".249",".296","72","16.3",".360","3.2","128","0.1","-1.2","1.3","116","153","97","89","38.7 %","44.1 %","17.2 %","21.2 %","37.3 %","41.6 %","23.1 %","11899"
"2018","Lorenzo Cain","Brewers","141","539","620","166","129","25","2","10","90","38","71","1","94","8","2","0","10","30","7",".308","11.5 %","15.2 %","0.76",".395",".417",".813",".109",".357","95","22.3",".359","5.6","124","2.6","3.8","0.0","66","128","102","126","38.3 %","43.6 %","18.1 %","32.9 %","37.4 %","29.8 %","9.7 %","9077"
"2015","Enrique Hernandez","Dodgers","76","202","218","62","41","12","2","7","24","22","11","0","46","2","2","1","3","0","2",".307","5.0 %","21.1 %","0.24",".346",".490",".836",".183",".364","32","7.9",".359","3.4","132","-0.9","-0.3","-0.1","92","63","110","101","33.3 %","54.1 %","12.6 %","20.8 %","34.6 %","44.7 %","14.6 %","10472"
"2014","Drew Stubbs","Rockies","132","388","424","112","71","22","4","15","67","43","30","1","136","1","3","2","4","20","3",".289","7.1 %","32.1 %","0.22",".339",".482",".821",".193",".404","61","15.7",".358","7.6","112","2.5","0.8","1.4","101","90","100","99","36.6 %","49.4 %","14.0 %","22.6 %","34.2 %","43.2 %","17.2 %","9328"
"2017","Dexter Fowler","Cardinals","118","420","491","111","62","22","9","18","68","64","63","6","101","4","4","0","10","7","3",".264","12.8 %","20.6 %","0.62",".363",".488",".851",".224",".305","75","15.2",".358","5.9","122","-0.2","2.2","-0.1","108","143","109","89","38.1 %","49.2 %","12.7 %","22.3 %","37.5 %","40.3 %","14.6 %","4062"
"2019","Starling Marte","Pirates","132","539","586","159","99","31","6","23","97","82","25","1","94","16","4","2","15","25","6",".295","4.3 %","16.0 %","0.27",".342",".503",".845",".208",".319","90","16.7",".353","7.5","119","2.1","1.2","0.1","80","48","98","118","37.7 %","43.2 %","19.1 %","25.3 %","35.0 %","39.7 %","18.5 %","9241"
"2014","Kirk Nieuwenhuis","Mets","61","112","130","29","11","14","1","3","16","16","16","3","39","0","2","0","1","4","0",".259","12.3 %","30.0 %","0.41",".346",".482",".828",".223",".361","18","4.2",".352","6.6","129","0.7","-0.8","0.9","83","157","148","90","40.0 %","38.7 %","21.3 %","16.0 %","38.7 %","45.3 %","14.3 %","6400"
"2015","Tommy Pham","Cardinals","52","153","173","41","24","7","5","5","28","18","19","1","41","0","1","0","1","2","0",".268","11.0 %","23.7 %","0.46",".347",".477",".824",".209",".333","25","5.4",".352","6.8","126","0.3","2.8","0.5","83","138","99","113","38.1 %","38.9 %","23.0 %","26.6 %","43.4 %","30.1 %","16.1 %","2967"
"2017","Ian Happ","Cubs","115","364","413","92","48","17","3","24","62","68","39","5","129","4","4","2","12","8","4",".253","9.4 %","31.2 %","0.30",".328",".514",".842",".261",".316","60","9.8",".349","5.7","114","-0.3","-0.4","-1.9","113","105","98","91","32.8 %","48.6 %","18.7 %","23.7 %","31.5 %","44.8 %","25.3 %","17919"
"2015","Denard Span","Nationals","61","246","275","74","52","17","0","5","38","22","25","0","26","1","2","1","5","11","0",".301","9.1 %","9.5 %","0.96",".365",".431",".796",".130",".318","39","7.7",".348","5.3","120","2.0","0.6","-0.2","78","114","112","111","24.7 %","55.6 %","19.7 %","31.4 %","34.5 %","34.1 %","8.8 %","8347"
"2017","Christian Yelich","Marlins","156","602","695","170","114","36","2","18","100","81","80","4","137","6","6","0","13","16","2",".282","11.5 %","19.7 %","0.58",".369",".439",".807",".156",".336","101","15.8",".348","5.2","117","1.9","3.1","1.8","71","128","95","125","35.2 %","48.8 %","15.9 %","29.3 %","37.4 %","33.3 %","15.3 %","11477"
"2019","Magneuris Sierra","Marlins","15","40","42","14","12","1","1","0","5","1","2","0","7","0","0","0","0","3","3",".350","4.8 %","16.7 %","0.29",".381",".425",".806",".075",".424","6","1.0",".347","6.6","117","-0.7","0.4","0.1","68","54","64","145","27.3 %","48.5 %","24.2 %","21.2 %","18.2 %","60.6 %","0.0 %","17023"
"2018","Cody Bellinger","Dodgers","162","557","632","145","85","28","7","25","84","76","69","9","151","3","3","0","7","14","1",".260","10.9 %","23.9 %","0.46",".343",".470",".814",".210",".313","90","15.7",".345","6.3","120","2.0","0.8","1.3","115","122","91","92","40.1 %","41.8 %","18.1 %","22.7 %","32.0 %","45.2 %","15.2 %","15998"
"2015","Charlie Blackmon","Rockies","157","614","682","176","119","31","9","17","93","58","46","2","112","13","4","5","4","43","13",".287","6.7 %","16.4 %","0.41",".347",".450",".797",".163",".325","94","17.3",".345","7.4","103","3.2","-1.3","1.3","112","85","116","84","33.1 %","51.9 %","15.1 %","22.5 %","32.5 %","45.0 %","9.3 %","7859"
"2016","Keon Broxton","Brewers","75","207","244","50","30","10","1","9","28","19","36","0","88","0","0","1","2","23","4",".242","14.8 %","36.1 %","0.41",".354",".430",".784",".188",".373","34","5.0",".343","6.5","111","2.8","-0.4","1.0","88","171","118","100","43.3 %","43.3 %","13.3 %","20.0 %","40.0 %","40.0 %","25.7 %","9253"
"2015","Christian Yelich","Marlins","126","476","525","143","104","30","2","7","63","44","47","2","101","2","0","0","13","16","5",".300","9.0 %","19.2 %","0.47",".366",".416",".782",".116",".370","71","12.4",".343","4.8","120","0.9","2.0","-0.9","45","113","105","137","33.1 %","49.9 %","17.1 %","27.7 %","40.5 %","31.7 %","12.5 %","11477"
"2018","Michael Conforto","Mets","153","543","638","132","78","25","1","28","78","82","84","8","159","7","4","0","10","3","4",".243","13.2 %","24.9 %","0.53",".350",".448",".797",".204",".289","89","14.4",".342","2.4","120","-1.4","0.9","0.6","105","147","90","101","35.8 %","46.4 %","17.8 %","25.3 %","31.7 %","43.0 %","19.7 %","16376"
"2018","Enrique Hernandez","Dodgers","145","402","462","103","62","17","3","21","67","52","50","5","78","1","5","4","3","3","0",".256","10.8 %","16.9 %","0.64",".336",".470",".806",".214",".266","64","10.2",".342","4.6","118","0.3","2.0","1.5","126","121","85","87","35.4 %","45.1 %","19.5 %","21.6 %","35.1 %","43.2 %","14.6 %","10472"
"2014","Denard Span","Nationals","147","610","668","184","132","39","8","5","94","37","50","1","65","2","3","3","6","31","7",".302","7.5 %","9.7 %","0.77",".355",".416",".771",".115",".330","88","16.1",".341","6.9","117","2.9","2.5","0.7","88","96","114","103","25.4 %","53.5 %","21.1 %","28.7 %","33.0 %","38.3 %","3.1 %","8347"
"2019","Alex Verdugo","Dodgers","106","343","377","101","65","22","2","12","43","44","26","1","49","2","6","0","8","4","1",".294","6.9 %","13.0 %","0.53",".342",".475",".817",".181",".309","54","7.0",".341","4.0","114","0.2","0.6","-0.2","81","78","104","114","43.7 %","39.0 %","17.3 %","24.3 %","38.0 %","37.7 %","14.0 %","17027"
"2017","A.J. Pollock","Diamondbacks","112","425","466","113","60","33","6","14","73","49","35","1","71","6","0","0","8","20","6",".266","7.5 %","15.2 %","0.49",".330",".471",".801",".205",".291","64","7.6",".340","7.5","103","1.2","0.4","1.0","91","83","113","101","35.0 %","45.2 %","19.8 %","19.5 %","37.3 %","43.2 %","12.4 %","9256"
"2019","Brandon Nimmo","Mets","69","199","254","44","24","11","1","8","34","29","46","2","71","5","3","1","1","3","0",".221","18.1 %","28.0 %","0.65",".375",".407",".783",".186",".293","36","4.4",".340","4.9","114","0.4","0.7","0.8","107","204","107","90","35.6 %","50.0 %","14.4 %","29.6 %","31.1 %","39.4 %","16.3 %","12927"
"2014","Charlie Blackmon","Rockies","154","593","648","171","122","27","3","19","82","72","31","5","96","13","5","6","3","28","10",".288","4.8 %","14.8 %","0.32",".335",".440",".775",".152",".315","84","14.6",".339","5.7","99","1.2","1.1","1.2","108","61","103","92","28.4 %","50.5 %","21.1 %","25.6 %","33.1 %","41.2 %","10.4 %","7859"
"2017","Brett Phillips","Brewers","37","87","98","24","17","3","0","4","9","12","9","2","34","1","0","1","0","5","0",".276","9.2 %","34.7 %","0.26",".351",".448",".799",".172",".408","13","1.4",".338","4.5","105","0.9","0.7","0.6","107","102","119","85","29.6 %","55.6 %","14.8 %","31.5 %","24.1 %","44.4 %","20.0 %","14735"
"2018","A.J. Pollock","Diamondbacks","113","413","460","106","59","21","5","21","61","65","31","2","100","8","7","1","6","13","2",".257","6.7 %","21.7 %","0.31",".316",".484",".800",".228",".284","62","8.7",".338","6.7","111","1.6","1.5","0.8","110","75","89","98","44.6 %","44.2 %","11.2 %","18.7 %","32.7 %","48.6 %","17.1 %","9256"
"2017","Michael A. Taylor","Nationals","118","399","432","108","63","23","3","19","55","53","29","3","137","1","2","1","3","17","7",".271","6.7 %","31.7 %","0.21",".320",".486",".806",".216",".363","59","6.2",".338","5.9","104","0.2","1.0","1.9","104","75","100","97","34.0 %","47.9 %","18.1 %","21.5 %","31.7 %","46.8 %","20.0 %","11489"
"2016","Odubel Herrera","Phillies","159","583","656","167","125","21","6","15","87","49","63","7","134","6","2","2","6","25","7",".286","9.6 %","20.4 %","0.47",".361",".420",".781",".134",".349","88","10.6",".338","6.3","110","1.7","-0.8","1.4","94","111","102","104","27.2 %","49.0 %","23.8 %","35.8 %","37.5 %","26.7 %","10.6 %","11476"
"2014","Marcell Ozuna","Marlins","153","565","612","152","98","26","5","23","72","85","41","1","164","1","5","0","12","3","1",".269","6.7 %","26.8 %","0.25",".317",".455",".772",".186",".337","79","13.0",".338","4.3","116","-0.3","1.0","0.5","99","86","83","109","38.2 %","47.0 %","14.8 %","26.6 %","36.5 %","37.0 %","16.8 %","10324"
"2014","Justin Ruggiano","Cubs","81","224","250","63","43","13","1","6","29","28","18","0","70","3","4","1","2","2","4",".281","7.2 %","28.0 %","0.26",".337",".429",".766",".147",".375","32","5.3",".337","3.4","115","-1.3","-0.7","0.7","113","92","95","93","28.9 %","53.5 %","17.6 %","27.0 %","37.1 %","35.9 %","10.0 %","7620"
"2015","Domingo Santana","Brewers","38","121","145","28","17","5","0","6","14","18","18","0","46","4","2","0","1","2","0",".231","12.4 %","31.7 %","0.39",".345",".421",".766",".190",".310","19","2.8",".337","3.2","111","0.3","1.6","0.7","90","156","91","111","36.4 %","42.9 %","20.8 %","40.3 %","26.0 %","33.8 %","26.1 %","10348"
"2015","Gregor Blanco","Giants","115","327","372","95","68","19","3","5","59","26","40","7","59","2","3","0","3","13","5",".291","10.8 %","15.9 %","0.68",".368",".413",".781",".122",".338","49","7.1",".337","6.3","117","0.4","2.6","1.1","92","135","113","100","23.3 %","55.7 %","21.0 %","21.4 %","38.0 %","40.6 %","6.3 %","3123"
"2017","Brian Goodwin","Nationals","74","251","278","63","28","21","1","13","41","30","23","2","69","1","3","0","3","6","0",".251","8.3 %","24.8 %","0.33",".313",".498",".811",".247",".291","38","3.8",".337","6.0","103","1.1","-1.7","0.4","122","92","93","86","34.1 %","49.7 %","16.2 %","25.4 %","29.2 %","45.4 %","16.5 %","12858"
"2018","Starling Marte","Pirates","145","559","606","155","98","32","5","20","81","72","35","2","109","8","3","1","11","33","14",".277","5.8 %","18.0 %","0.32",".327",".460",".787",".182",".312","82","11.0",".337","6.6","112","0.6","2.2","-0.7","92","64","78","117","33.5 %","46.9 %","19.6 %","24.7 %","35.0 %","40.3 %","14.0 %","9241"
"2014","Jon Jay","Cardinals","140","413","468","125","103","16","3","3","52","46","28","3","78","20","4","3","17","6","3",".303","6.0 %","16.7 %","0.36",".372",".378",".750",".075",".363","60","9.4",".336","4.5","115","-0.5","-0.8","-2.4","58","76","135","116","26.9 %","60.8 %","12.3 %","31.9 %","40.4 %","27.8 %","4.5 %","5227"
"2015","Joc Pederson","Dodgers","151","480","585","101","55","19","1","26","67","54","92","6","170","9","2","2","5","4","7",".210","15.7 %","29.1 %","0.54",".346",".417",".763",".206",".262","76","10.1",".335","2.4","116","-2.2","0.0","1.9","128","198","74","92","37.3 %","42.4 %","20.4 %","21.7 %","34.7 %","43.6 %","19.7 %","11899"
"2018","Austin Meadows","Pirates","49","154","165","45","30","8","2","5","16","13","8","2","35","1","2","0","1","4","1",".292","4.8 %","21.2 %","0.23",".327",".468",".795",".175",".345","22","2.7",".335","5.6","111","0.3","0.0","0.4","107","54","98","96","39.7 %","39.7 %","20.7 %","25.6 %","37.2 %","37.2 %","11.1 %","15672"
"2018","Chris Taylor","Dodgers","155","536","604","136","76","35","8","17","85","63","55","0","178","9","4","0","5","9","6",".254","9.1 %","29.5 %","0.31",".331",".444",".775",".190",".345","80","9.8",".335","6.3","113","-1.0","4.0","1.4","111","101","126","78","38.4 %","48.3 %","13.3 %","27.9 %","34.3 %","37.9 %","12.1 %","13757"
"2015","Wil Myers","Padres","60","225","253","57","35","13","1","8","40","29","27","0","55","1","0","0","2","5","2",".253","10.7 %","21.7 %","0.49",".336",".427",".763",".173",".302","33","4.2",".334","5.4","115","0.1","0.6","0.5","107","134","79","104","34.7 %","51.8 %","13.5 %","18.2 %","37.7 %","44.1 %","13.6 %","10047"
"2017","Albert Almora Jr.","Cubs","132","299","323","89","62","18","1","8","39","46","19","1","53","0","2","3","8","1","0",".298","5.9 %","16.4 %","0.36",".338",".445",".782",".147",".338","43","3.4",".334","3.2","104","0.0","-1.3","-0.5","85","65","101","112","29.5 %","50.6 %","19.9 %","27.5 %","32.7 %","39.8 %","11.0 %","14109"
"2015","Odubel Herrera","Phillies","147","495","537","147","106","30","3","8","64","41","28","0","129","8","1","5","6","16","8",".297","5.2 %","24.0 %","0.22",".344",".418",".762",".121",".387","69","8.6",".333","5.3","111","-0.2","1.8","0.7","89","66","110","104","26.6 %","54.0 %","19.4 %","32.5 %","32.3 %","35.2 %","7.6 %","11476"
"2015","Dexter Fowler","Cubs","156","596","690","149","95","29","8","17","102","46","84","1","154","5","3","2","5","20","7",".250","12.2 %","22.3 %","0.55",".346",".411",".757",".161",".308","88","10.8",".333","6.6","109","0.9","-2.4","1.4","110","153","95","95","28.2 %","55.3 %","16.6 %","25.1 %","30.9 %","44.1 %","10.6 %","4062"
"2019","A.J. Pollock","Dodgers","86","308","342","82","51","15","1","15","49","47","23","1","74","7","4","0","7","5","1",".266","6.7 %","21.6 %","0.31",".327",".468",".795",".201",".300","47","3.8",".333","4.9","108","0.4","1.1","0.4","104","76","91","101","43.7 %","39.1 %","17.2 %","20.6 %","32.4 %","47.1 %","17.2 %","9256"
