"Name","Team","PA","HR","R","RBI","AVG","OPS","playerid"
"James McCann","White Sox","476","18","62","60",".273",".789","12859"
"Brian Goodwin","Angels","458","17","65","47",".262",".796","12858"
"Nick Markakis","Braves","469","9","61","62",".285",".776","5930"
"Joey Votto","Reds","608","15","79","47",".261",".768","4314"
"Kyle Seager","Mariners","443","23","55","63",".239",".789","9785"
"Christian Vazquez","Red Sox","521","23","66","72",".276",".798","9774"
"Stephen Vogt","Giants","280","10","30","40",".263",".804","5000"
"Asdrubal Cabrera","- - -","514","18","69","91",".260",".783","4962"
"Chris Taylor","Dodgers","414","12","52","52",".262",".794","13757"
"Yasiel Puig","- - -","611","24","76","84",".267",".785","14225"
"Tyler Naquin","Indians","294","10","34","34",".288",".792","13359"
"Kole Calhoun","Angels","632","33","92","74",".232",".792","11200"
"Dustin Garneau","- - -","101","3","14","14",".244",".757","9433"
"Ryan McMahon","Rockies","539","24","70","83",".250",".779","15112"
"Andrew Benintendi","Red Sox","615","13","72","68",".266",".774","17901"
"Michael Brosseau","Rays","142","6","17","16",".273",".781","19683"
"Brian Dozier","Nationals","482","20","54","50",".238",".771","9810"
"Vladimir Guerrero Jr.","Blue Jays","514","15","52","69",".272",".772","19611"
"Scott Kingery","Phillies","500","19","64","55",".258",".788","17975"
"Eddie Rosario","Twins","590","32","91","109",".276",".800","12155"
"Nathaniel Lowe","Rays","169","7","24","19",".263",".779","19566"
"Todd Frazier","Mets","499","21","63","67",".251",".772","785"
"Jason Castro","Twins","275","13","39","30",".232",".767","8722"
"Daniel Murphy","Rockies","478","13","56","78",".279",".780","4316"
"Ian Desmond","Rockies","482","20","64","65",".255",".788","6885"
"Jason Heyward","Cubs","589","21","78","62",".251",".772","4940"
"Mike Freeman","Indians","213","4","27","24",".277",".752","11241"
"Wilson Ramos","Mets","524","14","52","73",".288",".768","1433"
"Nomar Mazara","Rangers","469","19","69","66",".268",".786","14553"
"Jon Berti","Marlins","287","6","52","24",".273",".755","12037"
"Bryan Holaday","Marlins","129","4","12","12",".278",".779","11287"
"Domingo Santana","Mariners","507","21","63","69",".253",".770","10348"
"Ehire Adrianza","Twins","236","5","34","22",".272",".765","8418"
"Dexter Fowler","Cardinals","574","19","69","67",".238",".754","4062"
"Roberto Perez","Indians","449","24","46","63",".239",".774","2900"
"Mitch Haniger","Mariners","283","15","46","32",".220",".778","14274"
"Aaron Hicks","Yankees","255","12","41","36",".235",".769","5297"
"Cesar Puello","- - -","147","4","14","18",".248",".740","7216"
"C.J. Cron","Twins","499","25","51","78",".253",".780","12546"
"Teoscar Hernandez","Blue Jays","464","26","58","65",".230",".778","13066"
"Victor Reyes","Tigers","292","3","29","25",".304",".767","15487"
"Jonathan Schoop","Twins","464","23","61","59",".256",".777","11265"
"Matt Beaty","Dodgers","268","9","36","46",".265",".775","17710"
"Justin Smoak","Blue Jays","500","22","54","61",".208",".748","9054"
"Alex Avila","Diamondbacks","201","9","22","24",".207",".774","7476"
"Michael Chavis","Red Sox","382","18","46","58",".254",".766","17321"
"Myles Straw","Astros","128","0","27","7",".269",".721","17620"
"Renato Nunez","Orioles","599","31","72","90",".244",".771","14503"
"Jose Martinez","Cardinals","373","10","45","42",".269",".751","7996"
"Evan Longoria","Giants","508","20","59","69",".254",".762","9368"
"Paul DeJong","Cardinals","664","30","97","78",".233",".762","18015"
"Anthony Santander","Orioles","405","20","46","59",".261",".773","14551"
"Oscar Mercado","Indians","482","15","70","54",".269",".761","16375"
"Austin Slater","Giants","192","5","20","21",".238",".750","16153"
"Adam Frazier","Pirates","608","10","80","50",".278",".753","15223"
"Hunter Renfroe","Padres","494","33","64","64",".216",".778","15464"
"Jose Osuna","Pirates","285","10","41","36",".264",".766","12937"
"Neil Walker","Marlins","381","8","37","38",".261",".738","7539"
"Brandon Belt","Giants","616","17","76","57",".234",".742","10264"
"Sean Rodriguez","Phillies","139","4","24","12",".223",".723","6589"
"Alex Gordon","Royals","633","13","77","76",".266",".741","5209"
"Chance Sisco","Orioles","198","8","29","20",".210",".729","15694"
"Greg Garcia","Padres","372","4","52","31",".248",".718","10951"
"Miguel Cabrera","Tigers","549","12","41","59",".282",".744","1744"
"Hanser Alberto","Orioles","550","12","62","51",".305",".751","11902"
"Amed Rosario","Mets","655","15","75","72",".287",".755","15518"
"Ender Inciarte","Braves","230","5","30","24",".246",".740","4922"
"Jay Bruce","- - -","333","26","43","59",".216",".784","9892"
"David Fletcher","Angels","653","6","83","49",".290",".734","17992"
"Tim Lopes","Mariners","128","1","11","12",".270",".720","14137"
"Dansby Swanson","Braves","545","17","77","65",".251",".748","18314"
