Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Ryan Schimpf,Padres,2B,89,276,330,60,18,17,5,20,48,51,42,3,105,9,3,0,3,1,1,0.217,12.70%,31.80%,0.4,0.336,0.533,0.869,0.315,4.9,0.26,51,12.1,0.362,128,-0.4,3.8,0.7,147,73,44,190,17.70%,40.20%,35.60%,24.10%,22.40%,37.90%,39.70%,9953
2018,Scooter Gennett,Reds,2B,154,584,638,181,125,30,3,23,86,92,42,3,125,4,5,3,14,4,2,0.31,6.60%,19.60%,0.34,0.357,0.49,0.847,0.18,3.7,0.358,99,24.4,0.362,125,-0.4,0.3,0.2,73,108,93,104,13.80%,40.50%,32.10%,27.40%,15.60%,45.60%,38.80%,10339
2016,Ben Zobrist,Cubs,2B,147,523,631,142,90,31,3,18,94,76,96,6,82,4,4,4,17,6,4,0.272,15.20%,13.00%,1.17,0.386,0.446,0.831,0.174,4,0.29,96,21.8,0.36,124,-0.9,4.2,-1.5,176,102,107,89,13.40%,48.30%,34.70%,16.90%,15.40%,52.10%,32.50%,7435
2018,Ben Zobrist,Cubs,2B,139,455,520,139,99,28,3,9,67,58,55,1,60,2,7,1,8,3,4,0.305,10.60%,11.50%,0.92,0.378,0.44,0.817,0.134,3.2,0.331,78,16.9,0.355,123,-1.4,1.9,0,118,99,111,87,7.40%,47.20%,31.50%,21.30%,11.90%,52.60%,35.50%,7435
2016,Neil Walker,Mets,2B,113,412,458,116,83,9,1,23,57,55,42,3,84,1,3,0,11,3,1,0.282,9.20%,18.30%,0.5,0.347,0.476,0.823,0.194,2.9,0.302,66,12.4,0.351,124,-0.1,-1.1,-0.4,106,101,79,127,16.20%,41.70%,36.90%,21.50%,16.60%,47.40%,36.00%,7539
2017,Ian Happ,Cubs,2B,115,364,413,92,48,17,3,24,62,68,39,5,129,4,4,2,12,8,4,0.253,9.40%,31.20%,0.3,0.328,0.514,0.842,0.261,5.7,0.316,60,9.8,0.349,114,-0.3,-0.4,-1.9,105,98,91,113,25.30%,44.80%,31.50%,23.70%,18.70%,48.60%,32.80%,17919
2016,Derek Dietrich,Marlins,2B,128,351,412,98,66,20,5,7,39,42,32,2,84,24,5,0,6,1,0,0.279,7.80%,20.40%,0.38,0.374,0.425,0.798,0.145,4.2,0.343,59,10.3,0.348,121,-0.1,-3.1,0.6,90,102,91,111,6.80%,37.90%,37.50%,24.60%,25.70%,46.30%,27.90%,10542
2017,Ozzie Albies,Braves,2B,57,217,244,62,42,9,5,6,34,28,21,0,36,3,2,1,3,8,1,0.286,8.60%,14.80%,0.58,0.354,0.456,0.81,0.171,7.4,0.316,35,5.3,0.347,111,1,1.4,0.3,96,91,92,115,8.20%,42.90%,35.30%,21.70%,14.70%,52.20%,33.20%,16556
2017,Neil Walker,Mets,2B,111,385,448,102,65,21,2,14,59,49,55,2,77,5,2,1,9,0,2,0.265,12.30%,17.20%,0.71,0.362,0.439,0.801,0.174,2.8,0.297,64,9.5,0.346,115,-1.2,0.8,-0.2,136,107,82,119,10.90%,43.10%,34.70%,22.20%,17.70%,49.50%,32.80%,7539
2017,Cesar Hernandez,Phillies,2B,128,511,577,150,109,26,6,9,85,34,61,1,104,4,1,0,8,15,5,0.294,10.60%,18.00%,0.59,0.373,0.421,0.793,0.127,6,0.353,82,12.1,0.346,111,0.4,0.8,-0.4,118,110,119,70,9.30%,35.80%,37.80%,26.50%,23.50%,54.40%,22.10%,10556
2017,Eric Sogard,Brewers,2B,94,249,299,68,49,15,1,3,37,18,45,2,37,4,0,1,7,3,3,0.273,15.10%,12.40%,1.22,0.393,0.378,0.77,0.104,3.3,0.311,42,5.7,0.343,109,-0.9,-0.8,-0.7,167,139,88,92,4.50%,38.00%,31.50%,30.50%,16.90%,56.80%,26.30%,7927
2018,Adam Frazier,Pirates,2B,113,318,352,88,53,23,2,10,52,35,29,2,53,3,1,1,3,1,3,0.277,8.20%,15.10%,0.55,0.342,0.456,0.798,0.179,3.6,0.305,49,8,0.343,116,-1.2,1.4,0,92,90,113,90,12.00%,37.80%,34.80%,27.30%,15.40%,49.80%,34.80%,15223
2017,DJ LeMahieu,Rockies,2B,155,609,682,189,149,28,4,8,95,64,59,1,90,6,5,3,24,6,5,0.31,8.70%,13.20%,0.66,0.374,0.409,0.783,0.099,3.9,0.351,95,12,0.342,94,-1.5,0.2,-3.2,96,120,126,56,7.80%,21.60%,40.00%,38.30%,15.40%,54.10%,30.60%,9874
2018,Daniel Descalso,Diamondbacks,2B,138,349,423,83,44,22,4,13,54,57,64,2,110,2,7,0,2,0,1,0.238,15.10%,26.00%,0.58,0.353,0.436,0.789,0.198,3.6,0.3,58,8.9,0.341,112,-0.7,1.5,1.4,169,108,70,133,11.40%,49.20%,29.30%,21.50%,15.90%,41.10%,43.10%,8392
2016,Adam Rosales,Padres,2B,105,214,248,49,21,12,3,13,37,35,29,2,88,1,4,0,2,4,0,0.229,11.70%,35.50%,0.33,0.319,0.495,0.814,0.266,7,0.308,34,4.5,0.34,113,0.7,1.7,0.5,135,80,83,135,21.70%,48.50%,31.50%,20.00%,13.90%,49.20%,36.90%,9682
2016,Aaron Hill,Brewers,2B,78,254,292,72,53,11,0,8,34,29,30,0,43,2,4,0,5,4,2,0.283,10.30%,14.70%,0.7,0.359,0.421,0.78,0.138,3,0.309,40,5.2,0.34,109,-0.2,1.6,0.5,119,110,79,121,9.00%,41.40%,34.40%,24.20%,17.70%,49.30%,33.00%,6104
2016,Jedd Gyorko,Cardinals,2B,128,400,438,97,57,9,1,30,58,59,37,1,96,0,1,0,11,0,0,0.243,8.40%,21.90%,0.39,0.306,0.495,0.801,0.253,1.7,0.244,59,7.5,0.339,112,-0.2,0.2,0.1,98,90,91,118,24.40%,45.30%,33.10%,21.60%,16.70%,48.50%,34.80%,10816
2016,Greg Garcia,Cardinals,2B,99,214,257,59,45,11,0,3,33,17,38,4,50,4,1,0,3,1,1,0.276,14.80%,19.50%,0.76,0.393,0.369,0.762,0.093,2.2,0.346,35,4.3,0.338,111,-0.4,1.9,0.2,171,120,113,71,7.70%,33.30%,35.80%,30.90%,17.60%,58.80%,23.60%,10951
2017,Asdrubal Cabrera,Mets,2B,135,479,540,134,88,32,0,14,66,59,50,1,83,5,5,1,19,3,2,0.28,9.30%,15.40%,0.6,0.351,0.434,0.785,0.154,2.5,0.31,74,7.8,0.338,112,-0.6,-6.2,-2.1,103,99,98,103,9.70%,46.30%,34.30%,19.40%,17.20%,46.00%,36.80%,4962
2018,Daniel Murphy,Nationals,2B,91,328,351,98,71,15,0,12,40,42,20,2,40,0,3,0,5,3,0,0.299,5.70%,11.40%,0.5,0.336,0.454,0.79,0.155,3,0.308,48,6.6,0.338,110,0.4,-1.8,0,63,118,81,112,10.50%,34.40%,29.60%,36.10%,12.70%,61.20%,26.10%,4316
