Name,Season,League,Position,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSvrRBI,linearSvrAVG,linearSvrHR,linearSvrOPS,linearSVRRuns,svrRBI,svrAVG,SvrHR,svrOPS,svrRuns,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
Robinson Cano,2019,NL,2B,3269,60.8572965,16.28484625,63.04170383,0.280322298,0.832544733,61.03988321,0.28061884,16.25581725,0.83309443,61.56100413,61.08217166,0.2565,16.0552317,0.808717687,77.74534033,46,13,39,0.256,0.736
Colin Moran,2019,NL,3B,16909,52.73367372,11.12642713,53.28442797,0.271372492,0.746963706,49.07964951,0.270962581,11.08105896,0.746941239,54.48849961,48.83224799,0.2565,11.11075949,0.783651365,24.66645184,46,13,80,0.277,0.751
Yadier Molina,2019,NL,C,7007,60.08752156,17.80548951,67.65824013,0.25552257,0.754000757,64.34672152,0.252634138,17.58458274,0.754128623,60.82380973,63.3930405,0.2565,17.65431511,0.792200201,57.43698635,45,10,57,0.27,0.711
Jose Martinez,2019,NL,OF,7996,66.87012408,17.45018833,65.41266608,0.29683071,0.843772947,63.9155676,0.298798911,17.3957353,0.844370447,67.77177644,63.5943673,0.2565,16.93935665,0.81036739,55.62584748,45,10,42,0.269,0.751
Andrew McCutchen,2019,NL,OF,9847,92.236002,23.08938606,79.0908833,0.273099535,0.806459106,78.60229398,0.27392188,22.80024107,0.807086969,90.85421336,83.45151565,0.2565,21.59769058,0.807243679,46.64696435,45,10,29,0.256,0.834
Jorge Alfaro,2019,NL,C,12180,45.23856189,10.61272143,41.64510806,0.292518935,0.7309744,41.73329378,0.298434288,10.69310911,0.730907179,44.08770139,39.80086946,0.2565,10.67000613,0.777026101,37.81729408,44,18,57,0.262,0.736
Buster Posey,2019,NL,C,9166,62.85726767,8.386220916,54.16981464,0.283845573,0.782740093,51.19677783,0.283813311,8.393694958,0.782873041,64.39707446,51.60308238,0.2565,6.671342293,0.795725093,52.32284929,43,7,38,0.257,0.688
Pablo Sandoval,2019,NL,3B,5409,25.96622569,10.4578052,30.98223152,0.226802404,0.698479397,30.18130818,0.228081023,10.52540194,0.698382237,26.12533669,27.07634663,0.2565,9.366570399,0.765835799,64.48661272,42,14,41,0.268,0.82
Matt Adams,2019,NL,1B,9393,42.21386783,20.37450649,52.8526463,0.241891238,0.801895044,52.00296003,0.244185518,20.36285579,0.802423136,41.32448441,51.94626617,0.2565,19.44370795,0.805637919,51.41261525,42,20,56,0.226,0.741
Derek Dietrich,2019,NL,2B,10542,66.38695435,14.09834199,53.80149667,0.269863064,0.757881798,55.3355608,0.270307583,14.04047387,0.758089797,64.32208319,56.1411466,0.2565,13.38516145,0.792467565,45.46977232,41,19,43,0.187,0.79
Jose Osuna,2019,NL,3B,12937,22.45949947,11.69525299,21.97528194,0.21580069,0.69698341,23.71561559,0.218488011,11.77428126,0.696858322,21.89787974,24.05449871,0.2565,9.840583432,0.767582126,36.37971356,41,10,36,0.264,0.766
Albert Almora Jr.,2019,NL,OF,14109,48.54119206,5.852022096,41.51856808,0.275771616,0.725604859,39.2584415,0.275812957,5.908285052,0.725314079,49.46902135,41.04692674,0.2565,5.64729843,0.769286384,31.78036108,41,12,32,0.236,0.651
Juan Lagares,2019,NL,OF,5384,29.24802797,1.871112567,21.13734504,0.238620096,0.660993537,21.24116533,0.241028417,2.035710999,0.660537962,28.30319987,22.66912922,0.2565,3.328154995,0.728562709,62.56343721,38,5,27,0.213,0.605
Gerardo Parra,2019,NL,OF,8553,46.24556953,7.674617925,44.22285909,0.273983625,0.733357209,41.18047539,0.277132508,7.669100533,0.73298868,48.64121065,42.03413372,0.2565,7.613324108,0.769256288,52.79716692,38,9,48,0.234,0.684
Neil Walker,2019,NL,2B,7539,49.03708286,12.03261449,44.50172424,0.240809069,0.720388341,43.38360489,0.240457912,11.99938109,0.720426611,48.72439249,44.69455746,0.2565,12.13507951,0.777690081,56.76758864,37,8,38,0.261,0.738
Kurt Suzuki,2019,NL,C,8259,44.90892234,13.25555045,49.38433863,0.246980362,0.802111132,47.45273838,0.248622658,13.32411505,0.802500289,44.98830387,46.80467362,0.2565,12.22642784,0.802863781,52.0456319,37,17,63,0.264,0.809
Jose Peraza,2019,NL,2B,13593,70.17579721,9.516209592,56.61771178,0.275169073,0.707825727,55.03881679,0.270324547,9.398286647,0.707434849,69.14111916,54.6757774,0.2565,7.051521972,0.759604286,28.95478775,37,6,33,0.239,0.631
Tyler Flowers,2019,NL,C,9134,39.64572405,8.034973798,34.16361089,0.250341676,0.744637279,34.12776432,0.254245911,8.17362471,0.744793799,39.51805666,32.14517483,0.2565,8.614097889,0.786850191,48.8706873,36,11,34,0.229,0.733
Yan Gomes,2019,NL,C,9627,46.87356566,14.86152548,49.80988126,0.247355604,0.722428561,49.1810941,0.24965426,14.7882438,0.722439865,45.79963962,48.77272586,0.2565,14.70673595,0.780116377,48.77238009,36,12,43,0.223,0.704
David Freese,2019,NL,1B,9549,47.54760522,11.96378961,44.67675453,0.283345307,0.796095213,43.19750918,0.286690737,12.0816442,0.796384405,48.51426922,42.9200599,0.2565,12.48154807,0.799683214,47.37921758,35,11,29,0.315,1.002
Adeiny Hechavarria,2019,NL,SS,10459,34.07800754,5.098561925,33.42276583,0.238824599,0.642266325,30.52672982,0.237184289,5.11064134,0.641644841,34.13835455,28.85645105,0.2565,5.152113634,0.703373656,44.97487425,34,9,33,0.241,0.742
Brandon Nimmo,2019,NL,OF,12927,68.11092294,15.56208249,45.68016832,0.282867357,0.859927272,49.83998199,0.290262897,15.70483754,0.860908722,65.93838491,53.09548903,0.2565,14.72707338,0.816563679,39.78264962,34,8,29,0.221,0.783
Corey Dickerson,2019,NL,OF,10762,75.74587654,18.69864948,70.00328009,0.283881391,0.803062903,71.4724159,0.284015906,18.56390136,0.803443966,72.97710927,72.0597132,0.2565,17.39753864,0.803864721,43.17413049,33,12,59,0.304,0.906
Tucker Barnhart,2019,NL,C,10200,55.11325168,9.71946376,50.40416412,0.258297533,0.715179239,48.06823239,0.258007271,9.662119922,0.714963181,55.51181268,47.47428215,0.2565,8.932189798,0.765177168,47.69790146,32,11,40,0.231,0.708
Wilmer Flores,2019,NL,1B,5827,45.97053954,12.70122481,53.59915868,0.24566938,0.758868295,49.64361119,0.244496134,12.68266702,0.759023066,46.41453321,48.57952659,0.2565,11.62369626,0.79252625,61.390438,31,9,37,0.317,0.848
Johan Camargo,2019,NL,3B,14950,55.57105602,15.10663477,55.4111104,0.274494029,0.799073925,54.79344708,0.278101102,15.07273324,0.799414728,55.91434543,54.63694243,0.2565,14.63116813,0.801500237,34.54423602,31,7,32,0.233,0.663
Ender Inciarte,2019,NL,OF,4922,82.26435841,12.58582402,56.91615861,0.281172329,0.723913658,58.29951932,0.27597022,12.38867107,0.723681822,81.34036271,59.87361165,0.2565,9.485831547,0.770610903,67.83140504,30,5,24,0.246,0.74
Hernan Perez,2019,NL,2B,5751,42.6144689,9.694991095,40.59897183,0.246395313,0.689522616,40.6617898,0.246357695,9.687007481,0.68920399,41.18398968,39.39235544,0.2565,9.542907713,0.75291835,60.68126568,29,8,18,0.228,0.642
Alex Dickerson,2019,NL,OF,12649,34.46672877,10.69307997,33.6610907,0.24218837,0.787967272,33.52276091,0.244392972,10.87580827,0.788338232,34.23513722,32.60622212,0.2565,9.899693308,0.800099997,37.46894302,29,6,28,0.276,0.82
Brian McCann,2019,NL,C,4810,32.61461604,9.579183635,34.70234531,0.212267099,0.686501214,32.89328516,0.211562906,9.598860532,0.686463282,32.39734215,31.61312268,0.2565,9.143717616,0.76295966,66.00648454,28,12,45,0.249,0.734
Austin Barnes,2019,NL,C,12158,28.1692713,3.343570756,20.60474527,0.238866974,0.70147769,20.13296274,0.242266886,3.594127661,0.701432961,28.11258401,21.85937036,0.2565,6.104240144,0.768246492,34.01016312,28,5,25,0.203,0.633
Austin Hedges,2019,NL,C,12976,38.9622745,15.58159898,45.70016754,0.230449722,0.695683835,45.52270359,0.230832398,15.50686819,0.695625435,37.04053964,43.1809938,0.2565,13.46692038,0.769384063,34.6004058,28,11,36,0.176,0.563
Martin Prado,2019,NL,3B,3312,36.94002625,2.170639812,30.80556853,0.243620416,0.647168257,30.64758673,0.24391369,2.163272921,0.646636432,37.62909006,30.23299463,0.2565,2.736934538,0.725305795,80.17651908,26,2,15,0.233,0.559
Jake Lamb,2019,NL,3B,13329,45.52952338,16.45070906,47.13699884,0.240282549,0.73028354,45.41236107,0.244258177,16.35538121,0.730418313,46.25295761,47.47365571,0.2565,17.6695275,0.784536944,30.28812552,26,6,30,0.193,0.676
Addison Russell,2019,NL,2B,14106,49.69056827,9.352446255,41.5820735,0.252034872,0.684596284,41.70907967,0.25141395,9.287123599,0.684272889,49.46986744,42.56250689,0.2565,8.647493947,0.747397603,29.25808822,25,9,23,0.237,0.699
Ian Happ,2019,NL,OF,17919,57.05114006,18.7030532,54.79164279,0.276398511,0.785240444,52.93374146,0.281774974,18.69805745,0.785687254,56.16589725,54.89129734,0.2565,19.00490041,0.801228102,23.51891459,25,11,30,0.264,0.898
Ben Zobrist,2019,NL,2B,7435,66.22813782,12.52581582,54.38983233,0.269749822,0.781877803,52.87960132,0.269886432,12.46581813,0.782103781,67.22224696,54.23589882,0.2565,10.611222,0.796500771,53.91069656,24,1,17,0.26,0.671
Gregory Polanco,2019,NL,OF,12907,62.44459457,20.33819017,64.73517933,0.254307091,0.790744855,63.22158164,0.256005426,20.16954088,0.791197139,62.22089326,63.50233521,0.2565,20.34127482,0.802908053,32.45017421,23,6,17,0.242,0.726
Alex Avila,2019,NL,C,7476,31.72557618,11.9567209,31.18869603,0.230957566,0.685206357,29.79270955,0.235606007,12.05755576,0.685261896,31.31372635,27.78491845,0.2565,9.796045764,0.76440211,57.17209313,22,9,24,0.207,0.774
Travis Shaw,2019,NL,3B,11982,77.02114392,28.10167711,86.52576469,0.254624018,0.826263974,83.37092333,0.256701845,27.78003314,0.827028658,76.35596628,85.04740346,0.2565,30.37861307,0.812132545,35.89115755,22,7,16,0.157,0.551
Carlos Gonzalez,2019,NL,OF,7287,66.52897452,18.41944604,62.33606608,0.275071901,0.791734674,62.56930538,0.280179772,18.28869892,0.791928509,66.08369725,63.95679295,0.2565,18.57953686,0.798720923,55.62974841,21,3,10,0.2,0.572
Ryan Zimmerman,2019,NL,1B,4220,54.0039289,21.41174925,61.62822895,0.259888627,0.837291778,60.76153602,0.263779512,21.36860678,0.837976796,53.71424034,60.1881071,0.2565,21.85536875,0.81272578,72.68116808,20,6,27,0.257,0.736
Chris Iannetta,2019,NL,C,8267,43.19626063,12.69657932,41.79724465,0.240687319,0.760729872,40.7089697,0.245652606,12.79259836,0.760963077,42.42729637,39.09787547,0.2565,11.53375108,0.792311993,54.26268766,20,6,21,0.222,0.728
Daniel Descalso,2019,NL,2B,8392,47.51808488,13.87273171,42.88620433,0.248906174,0.768797698,42.35954662,0.252975391,13.86221012,0.769109692,48.51338442,43.57905639,0.2565,13.29289859,0.795191351,52.33522322,20,2,15,0.173,0.521
Welington Castillo,2019,NL,C,3256,51.28520937,16.07258581,56.01920829,0.266548329,0.767982471,53.83832849,0.268991349,16.02837919,0.768159368,51.06519158,53.580463,0.2565,16.42535534,0.794625153,72.67897246,19,12,41,0.209,0.684
