"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Tommy Pham","- - -","137","494","570","136","91","18","6","21","102","63","67","2","140","6","3","0","18","15","7",".275","11.8 %","24.6 %","0.48",".367",".464",".830",".188","6.6",".342","87","20.5",".359","130","-0.2","4.1","-1.7","135","110","112","79","21.0 %","37.8 %","39.8 %","22.4 %","12.6 %","38.9 %","48.5 %","2967"
"2018","David Dahl","Rockies","77","249","271","68","38","11","3","16","31","48","19","4","68","1","2","0","4","5","3",".273","7.0 %","25.1 %","0.28",".325",".534",".859",".261","4.9",".311","41","9.4",".357","110","-0.4","-0.1","0.6","78","105","91","108","23.2 %","45.4 %","33.3 %","21.3 %","15.9 %","46.5 %","37.7 %","13744"
"2018","Andrew Benintendi","Red Sox","148","579","661","168","105","41","6","16","103","87","71","1","106","2","7","2","9","21","3",".290","10.7 %","16.0 %","0.67",".366",".465",".830",".174","6.7",".328","100","23.0",".357","122","2.5","0.3","1.5","129","112","96","97","9.4 %","38.4 %","33.4 %","28.2 %","13.7 %","58.3 %","28.0 %","17901"
"2017","Josh Reddick","Astros","134","477","540","150","99","34","4","13","77","82","43","1","72","0","12","1","9","7","3",".314","8.0 %","13.3 %","0.60",".363",".484",".847",".170","4.8",".339","82","16.6",".357","127","-0.2","2.7","0.8","95","119","78","116","7.4 %","35.9 %","36.1 %","28.0 %","17.2 %","51.7 %","31.1 %","3892"
"2017","Daniel Nava","Phillies","80","183","214","55","42","8","1","4","21","21","26","0","38","3","2","0","2","1","0",".301","12.1 %","17.8 %","0.68",".393",".421",".813",".120","3.1",".357","33","6.5",".357","118","0.0","-1.3","1.0","135","136","98","81","9.5 %","44.2 %","28.6 %","27.2 %","12.9 %","53.1 %","34.0 %","5450"
"2017","Jose Pirela","Padres","83","312","344","90","51","25","4","10","43","40","27","0","71","2","2","1","8","4","3",".288","7.8 %","20.6 %","0.38",".347",".490",".837",".202","5.0",".343","52","9.8",".355","120","-0.7","0.7","0.2","87","103","107","90","13.2 %","44.3 %","30.3 %","25.4 %","19.3 %","46.7 %","34.0 %","5485"
"2016","Jose Ramirez","Indians","152","565","618","176","116","46","3","11","84","76","44","1","62","4","4","1","10","22","7",".312","7.1 %","10.0 %","0.71",".363",".462",".825",".150","5.5",".333","91","18.7",".355","119","1.2","6.7","0.7","89","112","93","102","6.0 %","39.0 %","32.7 %","28.4 %","14.4 %","58.9 %","26.8 %","13510"
"2018","Ben Zobrist","Cubs","139","455","520","139","99","28","3","9","67","58","55","1","60","2","7","1","8","3","4",".305","10.6 %","11.5 %","0.92",".378",".440",".817",".134","3.2",".331","78","16.9",".355","123","-1.4","1.9","0.0","118","99","111","87","7.4 %","47.2 %","31.5 %","21.3 %","11.9 %","52.6 %","35.5 %","7435"
"2018","Joc Pederson","Dodgers","148","395","443","98","43","27","3","25","65","56","40","3","85","4","3","1","6","1","5",".248","9.0 %","19.2 %","0.47",".321",".522",".843",".273","4.0",".253","66","14.2",".354","126","-2.0","2.8","0.6","101","78","91","125","18.4 %","42.7 %","34.4 %","22.9 %","15.6 %","42.4 %","42.0 %","11899"
"2016","Hyun Soo Kim","Orioles","95","305","346","92","69","16","1","6","36","22","36","0","51","4","1","0","5","1","3",".302","10.4 %","14.7 %","0.71",".382",".420",".801",".118","2.4",".345","51","9.8",".352","121","-1.3","1.3","0.0","130","101","119","76","8.8 %","37.3 %","33.7 %","29.0 %","20.0 %","49.8 %","30.2 %","18718"
"2016","Brandon Guyer","- - -","101","293","345","78","51","17","1","9","39","32","19","1","55","31","1","1","6","3","2",".266","5.5 %","15.9 %","0.35",".372",".423",".795",".157","3.8",".300","50","9.3",".351","121","-0.4","-1.9","-0.4","69","105","92","107","10.0 %","41.7 %","32.1 %","26.3 %","20.8 %","50.8 %","28.3 %","2636"
"2016","Starling Marte","Pirates","129","489","529","152","104","34","5","9","71","46","23","5","104","16","0","1","8","47","12",".311","4.3 %","19.7 %","0.22",".362",".456",".818",".145","7.7",".380","77","14.3",".351","120","4.2","1.7","0.9","50","110","108","83","8.4 %","37.6 %","37.3 %","25.1 %","21.0 %","44.3 %","34.7 %","9241"
"2017","Eddie Rosario","Twins","151","542","589","157","95","33","2","27","79","78","35","1","106","0","8","4","10","9","8",".290","5.9 %","18.0 %","0.33",".328",".507",".836",".218","3.9",".312","86","14.2",".349","117","-1.9","1.0","0.4","71","99","98","103","16.4 %","39.3 %","36.8 %","23.9 %","16.7 %","51.6 %","31.7 %","12155"
"2017","Trey Mancini","Orioles","147","543","586","159","105","26","4","24","65","78","33","1","139","6","4","0","12","1","0",".293","5.6 %","23.7 %","0.24",".338",".488",".826",".195","3.2",".352","85","14.0",".349","116","-0.2","-0.2","0.1","67","95","118","81","19.8 %","37.5 %","35.3 %","27.2 %","19.6 %","46.3 %","34.1 %","15149"
"2016","Khris Davis","Athletics","150","555","610","137","69","24","2","42","85","102","42","0","166","8","5","0","19","1","2",".247","6.9 %","27.2 %","0.25",".307",".524",".831",".277","2.7",".270","87","15.6",".349","122","-0.9","-0.6","-1.6","86","83","97","113","26.6 %","38.6 %","36.0 %","25.4 %","14.7 %","46.2 %","39.1 %","9112"
