"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Kevin Pillar","Blue Jays","142","512","542","129","72","40","2","15","65","59","18","0","98","6","6","0","8","14","3",".252","3.3 %","18.1 %","0.18",".282",".426",".708",".174","5.6",".281","58","-5.7",".302","89","1.3","2.1","1.1","40","125","84","104","9.5 %","40.7 %","35.0 %","24.3 %","21.4 %","44.5 %","34.1 %","12434"
"2016","Rajai Davis","Indians","134","454","495","113","76","23","2","12","74","48","33","0","106","5","2","1","9","43","6",".249","6.7 %","21.4 %","0.31",".306",".388",".693",".139","7.8",".299","52","-6.7",".302","83","5.9","4.2","-0.1","83","93","102","101","9.6 %","43.6 %","31.3 %","25.1 %","19.1 %","54.4 %","26.5 %","3708"
"2016","Coco Crisp","- - -","122","446","498","103","59","27","4","13","54","55","46","2","78","0","2","4","7","10","5",".231","9.2 %","15.7 %","0.59",".302",".397",".698",".166","5.1",".252","52","-6.9",".301","88","-0.3","0.4","0.3","115","107","91","107","9.4 %","41.4 %","36.6 %","21.9 %","16.6 %","58.8 %","24.6 %","1572"
"2017","Mallex Smith","Rays","81","256","282","69","55","8","4","2","33","12","23","0","62","0","1","2","2","16","5",".270","8.2 %","22.0 %","0.37",".329",".355",".684",".086","7.2",".347","30","-4.8",".301","88","0.9","1.4","0.9","97","109","116","76","4.1 %","37.1 %","24.4 %","38.6 %","25.9 %","52.8 %","21.3 %","13608"
"2017","Cameron Maybin","- - -","114","395","450","90","58","20","2","10","63","35","51","1","94","2","1","1","12","33","8",".228","11.3 %","20.9 %","0.54",".318",".365",".683",".137","6.9",".274","47","-7.9",".300","87","2.9","2.9","-1.3","135","71","133","76","12.0 %","38.9 %","34.3 %","26.7 %","20.1 %","52.5 %","27.4 %","5223"
"2017","Bradley Zimmer","Indians","101","299","332","72","47","15","2","8","41","39","26","1","99","4","3","0","5","18","1",".241","7.8 %","29.8 %","0.26",".307",".385",".692",".144","7.0",".328","34","-6.2",".299","79","3.0","2.9","0.8","93","100","111","87","13.1 %","37.9 %","36.0 %","26.1 %","18.2 %","48.3 %","33.5 %","16221"
"2016","Leonys Martin","Mariners","143","518","576","128","93","17","3","15","72","47","44","0","149","3","7","4","10","24","6",".247","7.6 %","25.9 %","0.30",".306",".378",".684",".131","6.2",".313","58","-9.7",".298","89","2.0","2.0","0.6","95","98","98","104","11.3 %","45.8 %","31.3 %","22.9 %","22.1 %","48.4 %","29.5 %","11846"
"2017","Jarrod Dyson","Mariners","111","346","390","87","66","13","3","5","56","30","28","2","55","10","2","4","3","28","7",".251","7.2 %","14.1 %","0.51",".324",".350",".674",".098","7.5",".285","39","-8.2",".296","86","2.4","2.5","0.7","85","94","108","93","5.3 %","39.7 %","33.0 %","27.3 %","30.0 %","54.2 %","15.8 %","4866"
"2016","Carlos Gomez","- - -","118","411","453","95","59","22","1","13","45","53","34","2","136","5","0","3","11","18","5",".231","7.5 %","30.0 %","0.25",".298",".384",".682",".153","5.0",".313","45","-8.4",".296","83","1.3","-0.2","-0.6","94","103","101","98","14.3 %","44.6 %","31.7 %","23.7 %","21.9 %","47.8 %","30.2 %","4881"
"2018","Leury Garcia","White Sox","82","258","275","70","55","7","4","4","23","32","9","0","69","3","1","4","2","12","1",".271","3.3 %","25.1 %","0.13",".303",".376",".679",".105","6.9",".355","28","-4.5",".295","86","1.8","-1.6","0.6","39","135","115","62","9.5 %","31.4 %","35.6 %","33.0 %","17.0 %","53.1 %","29.9 %","5913"
"2016","Kevin Pillar","Blue Jays","146","548","584","146","102","35","2","7","59","53","24","0","90","6","3","3","12","14","6",".266","4.1 %","15.4 %","0.27",".303",".376",".679",".109","4.7",".306","58","-11.3",".295","82","0.0","2.6","-1.0","51","100","104","95","4.5 %","39.0 %","31.5 %","29.5 %","24.8 %","48.1 %","27.2 %","12434"
"2018","Guillermo Heredia","Mariners","125","292","337","69","49","14","1","5","29","19","32","0","52","4","2","7","4","2","4",".236","9.5 %","15.4 %","0.62",".318",".342",".661",".106","2.7",".270","34","-5.5",".295","88","-1.4","-0.4","0.9","114","110","102","92","6.3 %","40.2 %","28.9 %","30.9 %","22.1 %","51.0 %","26.9 %","18721"
"2016","Austin Jackson","White Sox","54","181","203","46","32","12","2","0","24","18","17","0","39","1","2","2","3","2","1",".254","8.4 %","19.2 %","0.44",".318",".343",".661",".088","5.2",".319","19","-4.4",".292","81","-0.1","0.5","0.2","104","148","85","91","0.0 %","35.6 %","34.3 %","30.1 %","13.7 %","52.1 %","34.3 %","9848"
"2018","Jake Marisnick","Astros","103","213","235","45","26","8","1","10","34","28","15","1","84","4","1","1","6","6","2",".211","6.4 %","35.7 %","0.18",".275",".399",".674",".188","6.5",".292","23","-4.7",".290","84","0.3","1.5","0.0","77","108","75","124","17.5 %","35.1 %","35.9 %","29.0 %","20.6 %","50.4 %","29.0 %","11339"
"2017","Guillermo Heredia","Mariners","123","386","426","96","74","16","0","6","43","24","27","2","64","11","1","1","9","1","5",".249","6.3 %","15.0 %","0.42",".315",".337",".652",".088","2.2",".284","40","-11.9",".288","80","-2.2","1.0","-0.1","75","87","110","96","5.5 %","35.2 %","39.5 %","25.3 %","23.8 %","55.9 %","20.4 %","18721"
"2018","Greg Allen","Indians","91","265","291","68","52","11","3","2","36","20","14","1","58","7","1","4","5","21","4",".257","4.8 %","19.9 %","0.24",".310",".343",".654",".087","7.9",".320","28","-6.4",".288","75","2.4","0.2","0.1","58","114","111","79","3.4 %","37.7 %","36.3 %","25.9 %","13.2 %","50.5 %","36.3 %","16623"
"2016","Jake Smolinski","Athletics","99","290","319","69","54","6","2","7","28","27","19","0","44","7","2","1","11","1","2",".238","6.0 %","13.8 %","0.43",".299",".345",".644",".107","3.0",".257","29","-9.0",".284","77","-0.8","-1.5","-1.3","74","109","97","99","8.0 %","42.6 %","33.7 %","23.7 %","20.1 %","50.6 %","29.3 %","5408"
"2018","Kevin Kiermaier","Rays","88","332","367","72","44","12","9","7","44","29","25","2","91","6","2","2","4","10","5",".217","6.8 %","24.8 %","0.27",".282",".370",".653",".154","7.2",".275","33","-9.9",".282","79","-0.2","1.6","0.5","82","91","118","85","9.6 %","35.1 %","37.6 %","27.4 %","25.3 %","43.3 %","31.4 %","11038"
"2017","Peter Bourjos","Rays","100","188","203","42","25","9","3","5","27","15","12","0","53","1","1","1","2","5","4",".223","5.9 %","26.1 %","0.23",".272",".383",".655",".160","7.1",".282","18","-7.0",".280","74","-0.8","0.9","0.7","70","77","112","98","10.4 %","38.7 %","34.3 %","27.0 %","24.1 %","46.0 %","29.9 %","2578"
"2017","Rajai Davis","- - -","117","336","366","79","53","19","2","5","56","20","27","1","83","1","1","1","12","29","7",".235","7.4 %","22.7 %","0.33",".293",".348",".641",".113","8.0",".297","32","-12.9",".279","73","2.6","2.2","-1.0","88","92","107","96","5.7 %","41.2 %","31.8 %","27.1 %","20.4 %","57.3 %","22.4 %","3708"
"2016","Desmond Jennings","Rays","65","200","225","40","25","7","1","7","22","20","21","0","58","2","1","1","4","2","0",".200","9.3 %","25.8 %","0.36",".281",".350",".631",".150","4.2",".243","19","-7.4",".278","73","0.3","0.6","0.0","116","80","106","104","13.5 %","39.6 %","36.8 %","23.6 %","20.1 %","53.5 %","26.4 %","1965"
"2018","Dee Gordon","Mariners","141","556","588","149","120","17","8","4","62","36","9","0","80","9","5","9","10","30","12",".268","1.5 %","13.6 %","0.11",".288",".349",".637",".081","7.1",".304","50","-18.2",".277","76","0.8","2.5","0.2","18","105","130","61","3.9 %","32.9 %","36.3 %","30.8 %","20.0 %","59.6 %","20.4 %","8203"
"2018","JaCoby Jones","Tigers","129","429","467","89","50","22","6","11","54","34","24","0","142","11","2","1","9","13","5",".207","5.1 %","30.4 %","0.17",".266",".364",".630",".156","7.3",".281","39","-15.5",".274","69","0.4","2.7","0.1","62","113","101","91","11.7 %","43.8 %","34.5 %","21.7 %","16.6 %","47.2 %","36.2 %","14818"
"2018","Delino DeShields","Rangers","106","334","393","72","55","14","1","2","52","22","43","0","83","3","1","12","1","20","4",".216","10.9 %","21.1 %","0.52",".310",".281",".591",".066","6.5",".280","32","-14.0",".271","59","2.1","0.4","1.5","132","89","116","88","2.7 %","31.1 %","37.5 %","31.4 %","19.3 %","53.0 %","27.7 %","11379"
"2018","Adam Engel","White Sox","143","429","463","101","74","17","4","6","49","29","18","0","129","8","1","7","1","16","8",".235","3.9 %","27.9 %","0.14",".279",".336",".614",".100","6.4",".322","37","-17.0",".270","69","-0.3","1.4","2.0","47","87","96","112","5.0 %","45.5 %","30.8 %","23.7 %","25.0 %","49.4 %","25.7 %","15082"
"2016","Brett Eibner","- - -","70","187","208","36","19","10","1","6","21","22","19","1","50","0","1","1","3","0","2",".193","9.1 %","24.0 %","0.38",".266",".353",".619",".160","3.1",".227","16","-8.6",".268","65","-0.9","0.3","0.6","114","89","96","111","11.1 %","38.9 %","27.3 %","33.8 %","25.9 %","49.6 %","24.5 %","11369"
"2016","Danny Santana","Twins","75","233","248","56","42","10","2","2","29","14","12","0","55","1","1","1","1","12","9",".240","4.8 %","22.2 %","0.22",".279",".326",".606",".086","6.4",".305","18","-10.8",".265","60","-1.4","-0.2","0.8","60","106","121","71","4.8 %","39.4 %","32.8 %","27.8 %","18.9 %","51.1 %","30.0 %","10322"
"2018","Dustin Fowler","Athletics","69","192","203","43","32","3","2","6","19","23","8","0","47","1","2","0","2","6","4",".224","3.9 %","23.2 %","0.17",".256",".354",".610",".130","5.6",".262","15","-8.5",".263","66","-0.5","-0.9","0.4","47","93","96","108","10.3 %","38.1 %","33.3 %","28.6 %","17.7 %","42.9 %","39.5 %","17098"
"2016","Delino DeShields","Rangers","74","182","203","38","27","7","0","4","36","13","15","0","54","2","1","3","1","8","3",".209","7.4 %","26.6 %","0.28",".275",".313",".588",".104","5.7",".272","14","-9.5",".261","52","0.3","1.7","0.7","92","84","126","78","11.8 %","39.4 %","38.6 %","22.0 %","22.7 %","56.8 %","20.5 %","11379"
"2016","Jake Marisnick","Astros","118","287","311","60","36","18","1","5","40","21","16","0","83","3","1","4","4","10","5",".209","5.1 %","26.7 %","0.19",".257",".331",".588",".122","6.2",".275","21","-15.7",".257","60","-0.2","0.8","0.1","64","94","103","100","7.1 %","44.0 %","32.1 %","23.9 %","21.1 %","52.6 %","26.3 %","11339"
"2018","Rajai Davis","Indians","101","196","216","44","36","6","1","1","33","6","11","0","48","4","1","4","2","21","7",".224","5.1 %","22.2 %","0.23",".278",".281",".559",".056","7.6",".291","14","-11.2",".251","50","1.2","0.6","0.9","61","103","111","86","2.2 %","29.4 %","37.9 %","32.7 %","30.7 %","42.5 %","26.8 %","3708"
"2016","Billy Burns","- - -","97","311","332","73","58","11","4","0","39","13","10","2","37","6","2","3","3","17","5",".235","3.0 %","11.1 %","0.27",".271",".296",".566",".061","7.7",".264","20","-19.5",".247","51","1.2","2.1","0.8","38","93","121","78","0.0 %","31.5 %","39.1 %","29.4 %","31.5 %","56.3 %","12.2 %","12701"
"2016","JB Shuck","White Sox","81","224","241","46","35","5","2","4","27","14","12","0","21","1","1","3","5","3","3",".205","5.0 %","8.7 %","0.57",".248",".299",".547",".094","4.9",".210","13","-15.5",".240","46","-0.7","1.0","0.1","62","78","120","88","6.3 %","36.2 %","38.7 %","25.1 %","26.6 %","51.7 %","21.7 %","6677"
"2017","Adam Engel","White Sox","97","301","336","50","30","11","3","6","34","21","19","0","117","8","0","8","1","8","1",".166","5.7 %","34.8 %","0.16",".235",".282",".517",".116","7.4",".247","15","-25.9",".230","39","1.0","1.4","1.9","67","67","95","124","7.5 %","43.2 %","30.7 %","26.0 %","27.1 %","47.4 %","25.5 %","15082"
