"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2016","Patrick Corbin","Diamondbacks","38","49","53","15","11","3","1","0","7","4","1","0","14","0","0","3","0","0","1",".306","1.9 %","26.4 %","0.07",".320",".408",".728",".102","5.6",".429","6","-0.2",".313","87","-0.4","","","22","114","142","36","0.0 %","15.8 %","47.4 %","36.8 %","18.4 %","73.7 %","7.9 %","9323"
"2016","Jake Arrieta","Cubs","31","65","70","17","12","2","1","2","7","7","4","0","28","0","0","1","1","0","0",".262","5.7 %","40.0 %","0.14",".304",".415",".720",".154","3.7",".429","8","-0.5",".310","90","0.0","","","66","92","87","122","13.3 %","23.7 %","47.4 %","29.0 %","13.2 %","57.9 %","29.0 %","4153"
"2017","Adam Wainwright","Cardinals","26","42","50","11","7","2","0","2","7","11","1","0","15","0","0","7","2","0","0",".262","2.0 %","30.0 %","0.07",".279",".452",".731",".190","2.6",".360","6","-0.5",".308","90","0.0","","","22","75","104","109","20.0 %","35.3 %","47.1 %","17.7 %","26.5 %","47.1 %","26.5 %","2233"
"2016","Adam Wainwright","Cardinals","34","62","69","14","3","8","1","2","6","18","2","0","17","0","0","5","1","0","0",".226","2.9 %","24.6 %","0.12",".250",".484",".734",".258","3.8",".279","7","-0.7",".305","89","0.0","","","34","88","88","123","11.1 %","56.0 %","30.0 %","14.0 %","20.0 %","48.0 %","32.0 %","2233"
"2016","Noah Syndergaard","Mets","31","58","67","11","5","3","0","3","6","6","7","0","34","0","0","2","1","0","0",".190","10.4 %","50.7 %","0.21",".277",".397",".673",".207","0.8",".381","6","-1.4",".292","84","0.0","","","121","129","61","133","30.0 %","42.3 %","42.3 %","15.4 %","7.7 %","50.0 %","42.3 %","11762"
"2018","Clayton Kershaw","Dodgers","27","46","57","11","9","2","0","0","1","7","7","0","11","0","0","4","0","0","0",".239","12.3 %","19.3 %","0.64",".340",".283",".622",".043","0.1",".314","5","-1.3",".287","82","0.0","","","137","129","144","27","0.0 %","33.3 %","25.6 %","41.0 %","33.3 %","51.3 %","15.4 %","2036"
"2018","German Marquez","Rockies","33","60","65","18","17","0","0","1","4","5","0","0","11","0","0","5","1","0","0",".300","0.0 %","16.9 %","0.00",".300",".350",".650",".050","0.6",".354","6","-1.7",".283","60","0.0","","","0","114","131","52","12.5 %","33.3 %","37.0 %","29.6 %","18.5 %","53.7 %","27.8 %","15038"
"2016","Madison Bumgarner","Giants","36","86","97","16","7","6","0","3","8","9","10","0","43","0","1","0","1","0","0",".186","10.3 %","44.3 %","0.23",".268",".360",".629",".174","0.9",".317","8","-3.6",".274","69","0.0","","","119","96","102","100","20.0 %","68.2 %","15.9 %","15.9 %","18.2 %","50.0 %","31.8 %","5524"
"2017","Ty Blach","Giants","38","44","53","10","7","2","0","1","5","7","4","0","21","0","1","4","1","0","0",".227","7.5 %","39.6 %","0.19",".286",".341",".627",".114","1.4",".391","4","-2.2",".273","67","0.0","","","84","177","82","77","16.7 %","17.9 %","39.3 %","42.9 %","21.4 %","57.1 %","21.4 %","14361"
"2017","Robbie Ray","Diamondbacks","28","53","61","13","11","2","0","0","5","2","3","0","23","0","0","5","0","0","0",".245","4.9 %","37.7 %","0.13",".286",".283",".569",".038","1.5",".433","4","-3.5",".253","46","0.0","","","55","90","126","74","0.0 %","22.9 %","62.9 %","14.3 %","31.4 %","51.4 %","17.1 %","11486"
