Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Jorge Polanco,Twins,SS,77,302,333,87,60,18,3,6,38,42,25,0,62,2,1,3,5,7,7,0.288,7.50%,18.60%,0.4,0.345,0.427,0.773,0.139,4.6,0.345,45,5.7,0.336,111,-1.7,-0.5,0.4,90,123,85,104,6.70%,38.30%,30.50%,31.30%,22.20%,45.70%,32.10%,13152
2017,Didi Gregorius,Yankees,SS,136,534,570,153,101,27,0,25,73,87,25,1,70,3,7,0,7,3,1,0.287,4.40%,12.30%,0.36,0.318,0.478,0.796,0.191,2.7,0.287,76,6.6,0.335,109,-0.1,1.2,2,52,99,84,120,12.10%,40.30%,37.40%,22.30%,24.40%,52.40%,23.10%,6012
2018,Chris Taylor,Dodgers,SS,155,536,604,136,76,35,8,17,85,63,55,0,178,9,4,0,5,9,6,0.254,9.10%,29.50%,0.31,0.331,0.444,0.775,0.19,6.3,0.345,80,9.8,0.335,113,-1,4,1.4,101,126,78,111,12.10%,37.90%,34.30%,27.90%,13.30%,48.30%,38.40%,13757
2017,Tim Beckham,Rays,SS,137,533,575,148,103,18,5,22,67,62,36,0,167,4,1,1,10,6,5,0.278,6.30%,29.00%,0.22,0.328,0.454,0.782,0.176,4.4,0.365,76,6.3,0.334,109,-1.3,1.5,0.4,74,107,113,81,20.60%,45.70%,33.20%,21.20%,15.50%,45.40%,39.10%,7949
2017,Jean Segura,Mariners,SS,125,524,566,157,114,30,2,11,80,45,34,3,83,6,1,0,14,22,8,0.3,6.00%,14.70%,0.41,0.349,0.427,0.776,0.128,5.5,0.339,75,6.2,0.334,111,0.6,1.1,-2.2,71,95,125,72,9.50%,29.90%,42.30%,27.80%,19.70%,52.00%,28.30%,5933
2016,Brad Miller,Rays,SS,152,548,601,133,68,29,6,30,73,81,47,0,149,3,3,0,5,6,4,0.243,7.80%,24.80%,0.32,0.304,0.482,0.786,0.239,4.9,0.277,78,7.5,0.333,111,-0.7,0.5,1.6,98,91,102,103,20.40%,42.50%,32.80%,24.60%,22.60%,42.30%,35.10%,12775
2016,Daniel Descalso,Rockies,SS,99,250,289,66,44,12,2,8,38,38,34,3,56,1,4,0,2,3,0,0.264,11.80%,19.40%,0.61,0.349,0.424,0.773,0.16,5.1,0.305,37,3.3,0.332,90,0.4,0.9,0.5,136,113,98,94,12.70%,39.40%,35.90%,24.80%,19.20%,51.50%,29.30%,8392
2018,Trea Turner,Nationals,SS,162,664,740,180,128,27,6,19,103,73,69,3,132,5,0,2,7,43,9,0.271,9.30%,17.80%,0.52,0.344,0.416,0.76,0.145,6.8,0.314,96,10,0.331,105,4.5,2.7,1.2,104,82,113,95,11.00%,43.10%,35.40%,21.50%,18.70%,49.80%,31.50%,16252
2016,Jose Peraza,Reds,SS,72,241,256,78,65,8,2,3,25,25,7,0,33,5,3,0,3,21,10,0.324,2.70%,12.90%,0.21,0.352,0.411,0.762,0.087,5.9,0.361,33,2.7,0.331,102,-0.1,0.7,0.3,32,130,97,85,5.00%,31.30%,40.30%,28.40%,19.40%,59.20%,21.30%,13593
2017,Johan Camargo,Braves,SS,82,241,256,72,45,21,2,4,30,27,12,2,51,0,1,2,5,0,0,0.299,4.70%,19.90%,0.24,0.331,0.452,0.783,0.154,3,0.364,33,2.1,0.33,100,-0.1,0.5,0.1,52,105,108,88,6.80%,36.80%,38.90%,24.40%,20.20%,51.30%,28.50%,14950
2018,Willy Adames,Rays,SS,85,288,323,80,63,7,0,10,43,34,31,3,95,1,2,1,6,6,5,0.278,9.60%,29.40%,0.33,0.348,0.406,0.754,0.128,3.2,0.378,41,3.4,0.328,110,-1.1,2.1,0,116,83,123,83,16.90%,37.80%,35.20%,27.00%,17.40%,48.00%,34.70%,15986
2016,Brandon Crawford,Giants,SS,155,553,623,152,101,28,11,12,67,84,57,10,115,4,9,0,13,7,0,0.275,9.10%,18.50%,0.5,0.342,0.43,0.772,0.156,5.9,0.322,78,4.4,0.327,104,1.1,1,1.5,106,101,95,106,7.50%,37.40%,38.10%,24.40%,16.40%,48.40%,35.20%,5343
2016,Troy Tulowitzki,Blue Jays,SS,131,492,544,125,80,21,0,24,54,79,43,1,101,5,4,0,14,1,0,0.254,7.90%,18.60%,0.43,0.318,0.443,0.761,0.189,1.5,0.272,68,3.8,0.327,104,-0.1,-1.9,-0.8,99,94,92,113,15.10%,45.30%,32.20%,22.50%,15.40%,50.40%,34.20%,3531
2018,Jean Segura,Mariners,SS,144,586,632,178,136,29,3,10,91,63,32,2,69,4,6,4,17,20,11,0.304,5.10%,10.90%,0.46,0.341,0.415,0.755,0.111,5.5,0.327,80,6.1,0.327,110,-0.9,2.8,-1.4,61,91,121,80,6.60%,35.70%,40.80%,23.50%,20.90%,53.30%,25.80%,5933
2018,Yairo Munoz,Cardinals,SS,108,293,329,81,57,16,0,8,39,42,30,7,71,4,2,0,3,5,6,0.276,9.10%,21.60%,0.42,0.35,0.413,0.763,0.137,2.8,0.338,42,3.1,0.326,107,-1.6,-1.2,0.9,102,103,125,67,15.40%,38.00%,36.20%,25.90%,15.20%,47.80%,37.10%,16313
2018,Andrelton Simmons,Angels,SS,146,554,600,162,120,26,5,11,68,75,35,2,44,5,5,1,17,10,2,0.292,5.80%,7.30%,0.8,0.337,0.417,0.754,0.125,5,0.3,76,5.5,0.326,108,0.8,2,-1.7,70,89,118,85,6.90%,51.00%,33.10%,15.90%,21.30%,42.60%,36.10%,10847
2016,Jorge Polanco,Twins,SS,69,245,270,69,46,15,4,4,24,27,17,0,46,3,3,2,3,4,3,0.282,6.30%,17.00%,0.37,0.332,0.424,0.757,0.143,5,0.328,33,1.7,0.326,101,-0.6,-1.3,0.5,79,149,75,104,5.40%,40.70%,37.80%,21.60%,18.60%,57.80%,23.50%,13152
2017,Javier Baez,Cubs,SS,145,469,508,128,79,24,2,23,75,75,30,15,144,1,2,6,10,10,3,0.273,5.90%,28.30%,0.21,0.317,0.48,0.796,0.207,5.3,0.345,64,2,0.326,98,0.5,2.8,0.5,66,75,110,102,19.70%,39.90%,38.10%,21.90%,21.30%,46.30%,32.40%,12979
2016,Eduardo Nunez,Twins,SS,141,553,595,159,115,24,4,16,73,67,29,3,88,5,6,2,8,40,10,0.288,4.90%,14.80%,0.33,0.325,0.432,0.758,0.145,6.6,0.314,73,2.7,0.324,101,3.6,-1.7,1,59,80,112,97,10.20%,35.00%,35.40%,29.70%,20.60%,51.70%,27.80%,6848
2017,Andrelton Simmons,Angels,SS,158,589,647,164,110,38,2,14,77,69,47,0,67,3,8,0,20,19,6,0.278,7.30%,10.40%,0.7,0.331,0.421,0.752,0.143,5,0.291,80,1,0.323,102,0.9,2.7,-1.6,86,94,114,86,8.40%,45.30%,34.20%,20.60%,20.60%,50.20%,29.30%,10847
2017,Trevor Story,Rockies,SS,145,503,555,120,61,32,3,24,68,82,49,4,191,2,1,0,12,7,2,0.239,8.80%,34.40%,0.26,0.308,0.457,0.765,0.219,4.7,0.332,68,0.8,0.323,82,0.3,0.8,-0.1,98,90,76,136,16.20%,38.30%,37.40%,24.30%,14.40%,45.40%,40.30%,12564
2018,Lourdes Gurriel Jr.,Blue Jays,SS,65,249,263,70,51,8,0,11,30,35,9,1,59,2,2,1,2,1,2,0.281,3.40%,22.40%,0.15,0.309,0.446,0.755,0.165,1.9,0.326,32,1.6,0.322,103,-0.8,-0.6,0.6,41,112,102,91,17.50%,45.10%,26.90%,28.00%,15.50%,53.90%,30.60%,19238
2017,Xander Bogaerts,Red Sox,SS,148,571,635,156,108,32,6,10,94,62,56,6,116,6,2,0,17,15,1,0.273,8.80%,18.30%,0.48,0.343,0.403,0.746,0.13,6.7,0.327,78,0.3,0.321,95,2.2,6.3,-0.2,105,102,113,84,7.20%,40.80%,33.30%,25.90%,19.70%,48.90%,31.40%,12161
2018,Aledmys Diaz,Blue Jays,SS,130,422,452,111,67,26,0,18,55,55,23,2,62,3,4,0,9,3,4,0.263,5.10%,13.70%,0.37,0.303,0.453,0.756,0.19,2.5,0.269,55,2.4,0.321,102,-1.2,-1.7,-0.3,61,85,96,113,12.00%,47.00%,30.80%,22.30%,19.20%,48.90%,31.90%,15937
2018,Paul DeJong,Cardinals,SS,115,436,490,105,60,25,1,19,68,68,36,2,123,12,5,0,6,1,1,0.241,7.30%,25.10%,0.29,0.313,0.433,0.746,0.193,3.1,0.288,60,2.4,0.321,103,-0.5,1.5,1.7,82,111,73,126,13.60%,45.60%,28.30%,26.10%,18.60%,42.80%,38.70%,18015
2018,Jose Peraza,Reds,SS,157,632,683,182,133,31,4,14,85,58,29,4,75,9,5,8,12,23,6,0.288,4.20%,11.00%,0.39,0.326,0.416,0.742,0.128,5.7,0.307,82,2.4,0.319,97,1.8,1.9,0.1,47,117,84,109,6.80%,35.30%,36.00%,28.80%,18.80%,51.80%,29.50%,13593
2017,Ketel Marte,Diamondbacks,SS,73,223,255,58,40,11,2,5,30,18,29,3,37,1,2,0,3,3,1,0.26,11.40%,14.50%,0.78,0.345,0.395,0.74,0.135,4.7,0.29,31,-0.4,0.319,89,0,0.5,0.6,126,101,102,97,7.90%,35.10%,39.40%,25.50%,17.60%,54.30%,28.20%,13613
2016,Didi Gregorius,Yankees,SS,153,562,597,155,101,32,2,20,68,70,19,2,82,6,5,5,9,7,1,0.276,3.20%,13.70%,0.23,0.304,0.447,0.751,0.171,4.3,0.29,71,0.2,0.319,97,0.7,1.7,1.2,40,96,91,113,10.40%,37.60%,33.10%,29.40%,19.60%,55.90%,24.50%,6012
2017,Miguel Rojas,Marlins,SS,90,272,306,79,60,16,2,1,37,26,27,5,32,4,2,1,6,2,1,0.29,8.80%,10.50%,0.84,0.361,0.375,0.736,0.085,4.1,0.324,37,-0.6,0.318,98,-0.2,0.5,-0.4,98,123,109,75,1.60%,28.40%,38.70%,32.90%,27.60%,52.30%,20.20%,7802
2016,Addison Russell,Cubs,SS,151,525,598,125,76,25,3,21,67,95,55,6,135,12,6,0,11,5,1,0.238,9.20%,22.60%,0.41,0.321,0.417,0.738,0.179,4.3,0.277,70,-0.8,0.316,95,0.3,-0.4,1.2,106,100,92,110,14.20%,44.20%,34.10%,21.70%,23.70%,47.00%,29.30%,14106
2016,Tim Anderson,White Sox,SS,99,410,431,116,79,22,6,9,57,30,13,0,117,1,1,6,15,10,2,0.283,3.00%,27.10%,0.11,0.306,0.432,0.738,0.149,7,0.375,50,-1,0.315,98,1,1.3,-2,38,102,123,70,12.30%,42.30%,35.00%,22.70%,17.00%,50.70%,32.30%,15172
2016,Marcus Semien,Athletics,SS,159,568,621,135,79,27,2,27,72,75,51,1,139,0,1,1,12,10,2,0.238,8.20%,22.40%,0.37,0.3,0.435,0.735,0.197,4.4,0.268,72,-1.6,0.315,98,0.9,-1.5,0.1,102,87,90,121,14.70%,42.50%,35.50%,22.00%,16.50%,55.00%,28.50%,12533
2016,Tim Beckham,Rays,SS,64,198,215,49,27,12,5,5,25,16,14,0,67,1,0,2,3,2,1,0.247,6.50%,31.20%,0.21,0.3,0.434,0.735,0.187,5.8,0.349,25,-0.7,0.314,98,-0.1,-0.9,0.1,81,87,105,102,10.60%,41.40%,35.30%,23.30%,20.30%,43.60%,36.10%,7949
2017,Marcus Semien,Athletics,SS,85,342,386,85,55,19,1,10,53,40,38,0,85,2,3,1,3,12,1,0.249,9.80%,22.00%,0.45,0.325,0.398,0.722,0.149,5.8,0.3,45,-2.4,0.314,97,1.7,1.8,1.5,117,101,87,116,9.20%,43.30%,33.70%,23.00%,16.50%,53.30%,30.30%,12533
2017,Chris Owings,Diamondbacks,SS,97,362,386,97,59,25,1,12,41,51,17,0,87,1,4,2,3,12,2,0.268,4.40%,22.50%,0.2,0.299,0.442,0.741,0.174,4.9,0.318,45,-2.4,0.313,85,1.4,-0.7,1.3,49,106,96,101,12.20%,39.20%,32.70%,28.10%,16.00%,52.30%,31.70%,10030
2018,Carlos Correa,Astros,SS,110,402,468,96,60,20,1,15,60,65,53,3,111,2,11,0,17,3,0,0.239,11.30%,23.70%,0.48,0.323,0.405,0.728,0.167,3.7,0.282,54,-0.5,0.313,100,0.3,1.4,-1.9,136,95,104,98,13.90%,34.80%,33.40%,31.80%,17.90%,53.30%,28.80%,14162
2016,Tyler Saladino,White Sox,SS,93,298,319,84,62,14,0,8,33,38,13,0,62,3,3,2,11,11,5,0.282,4.10%,19.40%,0.21,0.315,0.409,0.725,0.128,4,0.329,36,-1.4,0.313,96,0,1.5,-1.4,51,97,117,81,11.80%,39.40%,34.90%,25.70%,22.00%,52.70%,25.30%,10807
2017,Jose Reyes,Mets,SS,145,501,561,123,76,25,7,15,75,58,50,1,79,2,3,5,3,24,6,0.246,8.90%,14.10%,0.63,0.315,0.413,0.728,0.168,7.2,0.263,64,-4,0.312,95,1.9,1.3,2.2,99,96,84,122,8.20%,41.60%,36.10%,22.30%,26.10%,47.20%,26.70%,1736
2016,Zack Cozart,Reds,SS,121,464,508,117,71,28,2,16,67,50,37,3,84,2,4,1,9,4,1,0.252,7.30%,16.50%,0.44,0.308,0.425,0.732,0.172,4.2,0.274,57,-2.4,0.312,90,0.2,0.3,-1,84,97,88,117,10.50%,46.80%,34.80%,18.40%,19.20%,49.60%,31.20%,2616
2016,Chris Owings,Diamondbacks,SS,119,437,466,121,81,24,11,5,52,49,20,4,87,5,2,2,8,21,2,0.277,4.30%,18.70%,0.23,0.315,0.416,0.731,0.14,7.8,0.334,52,-2.8,0.311,86,3.2,-1,0.5,50,109,111,80,5.30%,31.90%,39.80%,28.30%,17.80%,52.30%,29.90%,10030
2017,Orlando Arcia,Brewers,SS,153,506,548,140,106,17,2,15,56,53,36,9,100,1,3,2,10,14,7,0.277,6.60%,18.20%,0.36,0.324,0.407,0.731,0.13,4.1,0.317,61,-5.4,0.309,86,-0.5,1.5,-0.5,73,97,117,81,12.90%,34.60%,40.40%,25.10%,22.90%,47.00%,30.20%,13185
2017,Jorge Polanco,Twins,SS,133,488,544,125,79,30,3,13,60,74,41,1,78,2,6,7,7,13,5,0.256,7.50%,14.30%,0.53,0.313,0.41,0.723,0.154,4.9,0.278,61,-5.3,0.309,90,0.2,1.7,1.8,89,95,88,117,7.40%,44.20%,33.80%,22.00%,19.90%,52.50%,27.70%,13152
2017,Jordy Mercer,Pirates,SS,145,502,558,128,85,24,5,14,52,58,51,13,88,3,2,0,16,0,4,0.255,9.10%,15.80%,0.58,0.326,0.406,0.733,0.151,2.9,0.284,62,-5.9,0.308,88,-2,2,-0.9,102,101,109,88,10.90%,39.90%,39.20%,20.90%,19.00%,50.00%,31.00%,6547
2018,Marcus Semien,Athletics,SS,159,632,703,161,109,35,2,15,89,70,61,1,131,1,7,2,12,14,6,0.255,8.70%,18.60%,0.47,0.318,0.388,0.706,0.133,4.7,0.296,78,-4.1,0.307,96,-0.1,1.3,0.4,105,108,93,104,7.80%,46.70%,30.60%,22.80%,18.40%,49.00%,32.60%,12533
2016,J.J. Hardy,Orioles,SS,115,405,438,109,71,29,0,9,43,48,26,1,68,0,6,1,14,0,0,0.269,5.90%,15.50%,0.38,0.309,0.407,0.716,0.138,1.2,0.299,48,-4.1,0.307,90,-0.2,-1,-0.8,74,90,103,102,7.30%,44.50%,35.20%,20.40%,18.30%,47.10%,34.60%,3797
2018,Brandon Crawford,Giants,SS,151,531,594,135,91,28,2,14,63,54,50,13,122,8,5,0,12,4,5,0.254,8.40%,20.50%,0.41,0.325,0.394,0.719,0.139,3,0.303,65,-4.2,0.306,94,-1.6,0.2,0.6,94,117,101,88,11.00%,33.10%,37.90%,29.00%,18.60%,45.20%,36.20%,5343
2017,Addison Russell,Cubs,SS,110,352,385,84,48,21,3,12,52,43,29,5,91,4,0,0,5,2,1,0.239,7.50%,23.60%,0.32,0.304,0.418,0.722,0.179,4.7,0.289,42,-5.2,0.305,85,-0.2,0.1,1.1,84,112,91,104,12.50%,41.00%,33.70%,25.30%,13.80%,54.00%,32.20%,14106
2018,Jose Iglesias,Tigers,SS,125,432,464,116,77,31,3,5,43,48,19,0,47,8,2,3,11,15,6,0.269,4.10%,10.10%,0.4,0.31,0.389,0.699,0.12,5.2,0.291,50,-4.1,0.304,89,0.3,0.8,0.2,49,108,103,92,3.90%,42.10%,34.10%,23.90%,21.00%,52.10%,26.90%,10231
