"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2016","Gary Sanchez","Yankees","53","201","229","60","28","12","0","20","34","42","24","2","57","2","2","0","5","1","0",".299","10.5 %","24.9 %","0.42",".376",".657","1.032",".358","2.2",".317","47","20.2",".425","170","0.1","-1.7","0.5","131","80","112","96","40.0 %","54.1 %","30.8 %","15.1 %","18.5 %","39.7 %","41.8 %","11442"
"2017","Austin Barnes","Dodgers","102","218","262","63","38","15","2","8","35","38","39","1","43","5","0","0","6","4","1",".289","14.9 %","16.4 %","0.91",".408",".486",".895",".197","4.9",".329","46","14.3",".386","142","0.2","-1.3","-0.2","165","125","102","83","15.7 %","33.1 %","41.7 %","25.1 %","21.1 %","48.0 %","30.9 %","12158"
"2017","Kurt Suzuki","Braves","81","276","309","78","46","13","0","19","38","50","17","2","39","13","2","1","5","0","0",".283","5.5 %","12.6 %","0.44",".351",".536",".887",".254","1.1",".268","51","13.3",".372","127","-0.2","-1.3","0.5","61","90","79","132","17.1 %","48.8 %","35.0 %","16.3 %","20.0 %","46.7 %","33.3 %","8259"
"2017","Robinson Chirinos","Rangers","88","263","309","67","36","13","1","17","46","38","34","0","79","10","1","1","5","1","0",".255","11.0 %","25.6 %","0.43",".360",".506",".866",".251","3.7",".298","50","12.5",".369","122","0.0","-2.5","0.4","131","67","93","127","20.0 %","52.7 %","25.3 %","22.0 %","16.7 %","47.9 %","35.5 %","3142"
"2017","Gary Sanchez","Yankees","122","471","525","131","78","20","0","33","79","90","40","1","120","10","4","0","9","2","1",".278","7.6 %","22.9 %","0.33",".345",".531",".876",".253","2.6",".304","85","20.7",".368","131","-0.3","-2.2","1.1","90","104","98","101","25.4 %","51.6 %","33.2 %","15.2 %","18.6 %","44.5 %","36.9 %","11442"
"2017","Chris Iannetta","Diamondbacks","89","272","316","69","33","19","0","17","38","43","37","0","87","6","1","0","3","0","0",".254","11.7 %","27.5 %","0.43",".354",".511",".865",".257","1.0",".308","51","12.3",".367","120","-0.2","-3.2","0.8","130","100","84","121","21.5 %","40.9 %","30.1 %","29.0 %","19.4 %","45.2 %","35.5 %","8267"
"2017","Buster Posey","Giants","140","494","568","158","112","34","0","12","62","67","61","13","66","8","5","0","17","6","1",".320","10.7 %","11.6 %","0.92",".400",".462",".861",".142","2.8",".347","91","21.4",".366","128","0.4","-1.1","-1.1","119","114","99","94","8.4 %","36.5 %","40.0 %","23.6 %","14.1 %","52.9 %","33.0 %","9166"
"2016","Willson Contreras","Cubs","76","252","283","71","44","14","1","12","33","35","26","0","67","4","1","0","7","2","2",".282","9.2 %","23.7 %","0.39",".357",".488",".845",".206","2.9",".339","44","10.4",".363","126","-0.6","0.0","-0.7","106","85","122","81","23.5 %","42.5 %","34.4 %","23.1 %","17.7 %","50.0 %","32.3 %","11609"
"2016","Sandy Leon","Red Sox","78","252","283","78","52","17","2","7","36","35","23","1","66","2","2","4","4","0","0",".310","8.1 %","23.3 %","0.35",".369",".476",".845",".167","2.9",".392","44","10.3",".362","124","-0.2","-1.5","0.4","101","121","100","88","12.1 %","46.4 %","28.1 %","25.5 %","19.8 %","49.0 %","31.3 %","5273"
"2017","Willson Contreras","Cubs","117","377","428","104","62","21","0","21","50","74","45","2","98","3","2","1","13","5","4",".276","10.5 %","22.9 %","0.46",".356",".499",".855",".223","2.4",".319","67","14.8",".362","122","-1.0","-4.1","-0.9","117","85","120","83","25.9 %","43.6 %","35.5 %","20.9 %","17.0 %","47.5 %","35.5 %","11609"
"2017","Alex Avila","- - -","112","311","376","82","54","13","1","14","41","49","62","2","120","1","1","1","10","0","1",".264","16.5 %","31.9 %","0.52",".387",".447",".834",".183","1.8",".382","59","13.0",".362","125","-0.7","-1.3","-0.6","192","136","88","94","21.5 %","34.7 %","38.3 %","26.9 %","6.7 %","44.6 %","48.7 %","7476"
"2016","Jonathan Lucroy","- - -","142","490","544","143","92","24","3","24","67","81","47","5","100","3","4","0","16","5","0",".292","8.6 %","18.4 %","0.47",".355",".500",".855",".208","4.3",".322","84","19.5",".362","123","0.7","-0.4","-0.8","102","115","84","112","15.8 %","35.1 %","37.2 %","27.7 %","21.1 %","43.5 %","35.4 %","7870"
"2016","Wilson Ramos","Nationals","131","482","523","148","101","25","0","22","58","80","35","2","79","2","4","0","17","0","0",".307","6.7 %","15.1 %","0.44",".354",".496",".850",".189","0.9",".327","80","18.7",".361","123","-0.3","-4.6","-1.8","77","96","122","74","21.4 %","38.3 %","34.2 %","27.5 %","17.9 %","46.7 %","35.4 %","1433"
"2018","Wilson Ramos","- - -","111","382","416","117","79","22","1","15","39","70","32","2","80","0","2","0","20","0","0",".306","7.7 %","19.2 %","0.40",".358",".487",".845",".181","1.1",".353","65","15.9",".361","131","-0.3","-7.9","-2.9","90","96","129","68","20.0 %","40.1 %","32.2 %","27.6 %","17.4 %","43.4 %","39.1 %","1433"
"2017","Tyler Flowers","Braves","99","317","370","89","61","16","0","12","41","49","31","1","82","20","2","0","6","0","1",".281","8.4 %","22.2 %","0.38",".378",".445",".823",".164","1.4",".342","57","11.7",".358","118","-0.7","0.7","0.3","93","119","95","95","15.2 %","43.9 %","28.3 %","27.9 %","18.1 %","44.7 %","37.1 %","9134"
"2018","Francisco Cervelli","Pirates","104","332","404","86","56","15","3","12","39","57","51","1","84","15","4","2","7","2","3",".259","12.6 %","20.8 %","0.61",".378",".431",".809",".172","3.1",".308","61","13.3",".355","124","-1.1","-0.4","-0.2","141","89","90","119","11.4 %","38.6 %","34.7 %","26.8 %","15.8 %","50.4 %","33.9 %","5275"
